"year","total","region","type","population","providerRate"
2011,12,"Area L","ahec",309832,0.39
2012,11,"Area L","ahec",309165,0.36
2013,9,"Area L","ahec",306794,0.29
2014,14,"Area L","ahec",305841,0.46
2015,12,"Area L","ahec",303922,0.39
2016,16,"Area L","ahec",302629,0.53
2017,17,"Area L","ahec",301780,0.56
2011,62,"Charlotte","ahec",1799166,0.34
2012,72,"Charlotte","ahec",1827256,0.39
2013,64,"Charlotte","ahec",1863538,0.34
2014,94,"Charlotte","ahec",1896573,0.5
2015,96,"Charlotte","ahec",1930604,0.5
2016,123,"Charlotte","ahec",1961268,0.63
2017,143,"Charlotte","ahec",1999372,0.72
2011,51,"Eastern","ahec",1044211,0.49
2012,55,"Eastern","ahec",1055120,0.52
2013,41,"Eastern","ahec",1059704,0.39
2014,55,"Eastern","ahec",1060701,0.52
2015,66,"Eastern","ahec",1062244,0.62
2016,70,"Eastern","ahec",1061127,0.66
2017,79,"Eastern","ahec",1064705,0.74
2011,45,"Greensboro","ahec",1136068,0.4
2012,47,"Greensboro","ahec",1147212,0.41
2013,36,"Greensboro","ahec",1154755,0.31
2014,53,"Greensboro","ahec",1163764,0.46
2015,50,"Greensboro","ahec",1173064,0.43
2016,59,"Greensboro","ahec",1180482,0.5
2017,65,"Greensboro","ahec",1190264,0.55
2011,32,"Mountain","ahec",770362,0.42
2012,41,"Mountain","ahec",769642,0.53
2013,30,"Mountain","ahec",776064,0.39
2014,43,"Mountain","ahec",781867,0.55
2015,43,"Mountain","ahec",789383,0.54
2016,43,"Mountain","ahec",799550,0.54
2017,52,"Mountain","ahec",807857,0.64
2011,53,"Northwest","ahec",1563589,0.34
2012,61,"Northwest","ahec",1566740,0.39
2013,47,"Northwest","ahec",1571258,0.3
2014,61,"Northwest","ahec",1579059,0.39
2015,74,"Northwest","ahec",1586703,0.47
2016,90,"Northwest","ahec",1598199,0.56
2017,98,"Northwest","ahec",1610400,0.61
2011,25,"South East","ahec",487484,0.51
2012,29,"South East","ahec",494872,0.59
2013,14,"South East","ahec",502936,0.28
2014,19,"South East","ahec",509080,0.37
2015,25,"South East","ahec",518781,0.48
2016,30,"South East","ahec",527596,0.57
2017,34,"South East","ahec",536440,0.63
2011,53,"Southern Regional","ahec",900751,0.59
2012,55,"Southern Regional","ahec",909169,0.6
2013,41,"Southern Regional","ahec",914274,0.45
2014,54,"Southern Regional","ahec",913874,0.59
2015,65,"Southern Regional","ahec",915808,0.71
2016,80,"Southern Regional","ahec",918447,0.87
2017,88,"Southern Regional","ahec",921525,0.95
2011,76,"Wake AHEC","ahec",1657781,0.46
2012,87,"Wake AHEC","ahec",1686053,0.52
2013,58,"Wake AHEC","ahec",1712629,0.34
2014,88,"Wake AHEC","ahec",1742928,0.5
2015,92,"Wake AHEC","ahec",1776174,0.52
2016,103,"Wake AHEC","ahec",1806644,0.57
2017,123,"Wake AHEC","ahec",1840349,0.67
2011,3,"Alamance","county",152531,0.2
2012,2,"Alamance","county",153029,0.13
2013,2,"Alamance","county",153595,0.13
2014,5,"Alamance","county",155789,0.32
2015,5,"Alamance","county",157522,0.32
2016,6,"Alamance","county",159054,0.38
2017,6,"Alamance","county",161076,0.37
2011,0,"Alexander","county",37528,0
2012,1,"Alexander","county",37389,0.27
