"year","total","region","type","population","providerRate","percentFemale","percentAge","percentUnderrepresented"
2006,45,"Area L","ahec",299459,1.5,0.8444,0.0222,0.1778
2007,43,"Area L","ahec",299285,1.44,0.814,0.0233,0.2093
2008,41,"Area L","ahec",301094,1.36,0.8293,0.0244,0.2195
2009,42,"Area L","ahec",303354,1.38,0.8095,0.0238,0.2143
2010,44,"Area L","ahec",311268,1.41,0.8182,0.0227,0.2045
2011,44,"Area L","ahec",309832,1.42,0.7727,0.0227,0.2045
2012,47,"Area L","ahec",309165,1.52,0.766,0.0426,0.2128
2013,42,"Area L","ahec",306794,1.37,0.7619,0.0476,0.2619
2014,47,"Area L","ahec",305841,1.54,0.7234,0.0426,0.2553
2015,49,"Area L","ahec",303922,1.61,0.7959,0.0204,0.2041
2016,52,"Area L","ahec",302629,1.72,0.75,0.0192,0.2115
2017,52,"Area L","ahec",301780,1.72,0.8269,0.0192,0.1923
2006,372,"Charlotte","ahec",1605915,2.32,0.9059,0.0027,0.0968
2007,412,"Charlotte","ahec",1665257,2.47,0.9102,0.0024,0.0922
2008,447,"Charlotte","ahec",1701378,2.63,0.915,0.0022,0.0962
2009,487,"Charlotte","ahec",1732010,2.81,0.922,0.0041,0.0903
2010,526,"Charlotte","ahec",1776565,2.96,0.9202,0.0019,0.0989
2011,554,"Charlotte","ahec",1799166,3.08,0.9242,0.0036,0.1065
2012,565,"Charlotte","ahec",1827256,3.09,0.9239,0.0106,0.108
2013,604,"Charlotte","ahec",1863538,3.24,0.9321,0.0083,0.1175
2014,624,"Charlotte","ahec",1896573,3.29,0.9199,0.0032,0.1202
2015,650,"Charlotte","ahec",1930604,3.37,0.9246,0.0077,0.1246
2016,687,"Charlotte","ahec",1961268,3.5,0.9214,0.0102,0.1208
2017,751,"Charlotte","ahec",1999372,3.76,0.9228,0.016,0.1212
2006,206,"Eastern","ahec",967485,2.13,0.8495,0.0097,0.0922
2007,212,"Eastern","ahec",1002600,2.11,0.8491,0,0.0613
2008,218,"Eastern","ahec",995121,2.19,0.8303,0.0046,0.0734
2009,221,"Eastern","ahec",1007683,2.19,0.8507,0.009,0.0588
2010,229,"Eastern","ahec",1035493,2.21,0.8646,0.0044,0.0568
2011,252,"Eastern","ahec",1044211,2.41,0.869,0.0079,0.0754
2012,250,"Eastern","ahec",1055120,2.37,0.844,0.012,0.072
2013,262,"Eastern","ahec",1059704,2.47,0.8588,0.0076,0.0725
2014,258,"Eastern","ahec",1060701,2.43,0.8682,0.0116,0.062
2015,274,"Eastern","ahec",1062244,2.58,0.854,0.0292,0.073
2016,276,"Eastern","ahec",1061127,2.6,0.8804,0.0254,0.0543
2017,280,"Eastern","ahec",1064705,2.63,0.8679,0.0286,0.0643
2006,280,"Greensboro","ahec",1051795,2.66,0.8964,0.0107,0.0643
2007,288,"Greensboro","ahec",1072610,2.69,0.8889,0.0174,0.1007
2008,301,"Greensboro","ahec",1088392,2.77,0.897,0.0233,0.0897
2009,310,"Greensboro","ahec",1105017,2.81,0.8935,0.0258,0.071
2010,321,"Greensboro","ahec",1127674,2.85,0.9097,0.0218,0.0592
2011,331,"Greensboro","ahec",1136068,2.91,0.9033,0.0211,0.0725
2012,344,"Greensboro","ahec",1147212,3,0.8983,0.0203,0.0785
2013,348,"Greensboro","ahec",1154755,3.01,0.8966,0.0287,0.0862
