"year","total","region","type","population","providerRate"
2011,3,"Area L","ahec",309832,0.1
2012,4,"Area L","ahec",309165,0.13
2013,3,"Area L","ahec",306794,0.1
2014,3,"Area L","ahec",305841,0.1
2015,2,"Area L","ahec",303922,0.07
2016,2,"Area L","ahec",302629,0.07
2017,2,"Area L","ahec",301780,0.07
2011,17,"Charlotte","ahec",1799166,0.09
2012,21,"Charlotte","ahec",1827256,0.11
2013,23,"Charlotte","ahec",1863538,0.12
2014,21,"Charlotte","ahec",1896573,0.11
2015,24,"Charlotte","ahec",1930604,0.12
2016,22,"Charlotte","ahec",1961268,0.11
2017,21,"Charlotte","ahec",1999372,0.11
2011,22,"Eastern","ahec",1044211,0.21
2012,21,"Eastern","ahec",1055120,0.2
2013,18,"Eastern","ahec",1059704,0.17
2014,21,"Eastern","ahec",1060701,0.2
2015,20,"Eastern","ahec",1062244,0.19
2016,20,"Eastern","ahec",1061127,0.19
2017,21,"Eastern","ahec",1064705,0.2
2011,10,"Greensboro","ahec",1136068,0.09
2012,11,"Greensboro","ahec",1147212,0.1
2013,13,"Greensboro","ahec",1154755,0.11
2014,9,"Greensboro","ahec",1163764,0.08
2015,10,"Greensboro","ahec",1173064,0.09
2016,11,"Greensboro","ahec",1180482,0.09
2017,12,"Greensboro","ahec",1190264,0.1
2011,4,"Mountain","ahec",770362,0.05
2012,7,"Mountain","ahec",769642,0.09
2013,6,"Mountain","ahec",776064,0.08
2014,5,"Mountain","ahec",781867,0.06
2015,4,"Mountain","ahec",789383,0.05
2016,7,"Mountain","ahec",799550,0.09
2017,7,"Mountain","ahec",807857,0.09
2011,26,"Northwest","ahec",1563589,0.17
2012,22,"Northwest","ahec",1566740,0.14
2013,33,"Northwest","ahec",1571258,0.21
2014,26,"Northwest","ahec",1579059,0.16
2015,23,"Northwest","ahec",1586703,0.14
2016,24,"Northwest","ahec",1598199,0.15
2017,24,"Northwest","ahec",1610400,0.15
2011,9,"South East","ahec",487484,0.18
2012,9,"South East","ahec",494872,0.18
2013,4,"South East","ahec",502936,0.08
2014,6,"South East","ahec",509080,0.12
2015,7,"South East","ahec",518781,0.13
2016,7,"South East","ahec",527596,0.13
2017,6,"South East","ahec",536440,0.11
2011,31,"Southern Regional","ahec",900751,0.34
2012,33,"Southern Regional","ahec",909169,0.36
2013,27,"Southern Regional","ahec",914274,0.3
2014,31,"Southern Regional","ahec",913874,0.34
2015,29,"Southern Regional","ahec",915808,0.32
2016,30,"Southern Regional","ahec",918447,0.33
2017,34,"Southern Regional","ahec",921525,0.37
2011,14,"Wake AHEC","ahec",1657781,0.08
2012,16,"Wake AHEC","ahec",1686053,0.09
2013,26,"Wake AHEC","ahec",1712629,0.15
2014,24,"Wake AHEC","ahec",1742928,0.14
2015,22,"Wake AHEC","ahec",1776174,0.12
2016,18,"Wake AHEC","ahec",1806644,0.1
2017,20,"Wake AHEC","ahec",1840349,0.11
2011,1,"Alamance","county",152531,0.07
2012,1,"Alamance","county",153029,0.07
2013,2,"Alamance","county",153595,0.13
2014,2,"Alamance","county",155789,0.13
2015,2,"Alamance","county",157522,0.13
2016,3,"Alamance","county",159054,0.19
2017,2,"Alamance","county",161076,0.12
2011,0,"Alexander","county",37528,0
2012,0,"Alexander","county",37389,0
2013,0,"Alexander","county",37436,0
2014,0,"Alexander","county",37832,0
2015,0,"Alexander","county",37952,0
2016,0,"Alexander","county",38284,0
2017,0,"Alexander","county",38452,0
2011,0,"Alleghany","county",11069,0
2012,0,"Alleghany","county",10971,0
2013,0,"Alleghany","county",11052,0
2014,0,"Alleghany","county",11099,0
2015,0,"Alleghany","county",11190,0
2016,0,"Alleghany","county",11202,0
2017,0,"Alleghany","county",11233,0
2011,1,"Anson","county",25822,0.39
2012,1,"Anson","county",26626,0.38
2013,0,"Anson","county",26318,0
2014,0,"Anson","county",26468,0
2015,0,"Anson","county",26155,0
2016,0,"Anson","county",25628,0
2017,0,"Anson","county",25626,0
2011,0,"Ashe","county",27423,0
2012,0,"Ashe","county",27361,0
2013,0,"Ashe","county",27434,0
2014,0,"Ashe","county",27448,0
2015,0,"Ashe","county",27332,0
2016,0,"Ashe","county",27344,0
2017,0,"Ashe","county",27218,0
2011,0,"Avery","county",17834,0
2012,0,"Avery","county",17764,0
2013,0,"Avery","county",17872,0
2014,0,"Avery","county",17895,0
2015,0,"Avery","county",17816,0
2016,0,"Avery","county",18098,0
2017,0,"Avery","county",18072,0
2011,1,"Beaufort","county",47854,0.21
2012,1,"Beaufort","county",47901,0.21
2013,2,"Beaufort","county",47777,0.42
2014,2,"Beaufort","county",47717,0.42
2015,2,"Beaufort","county",47829,0.42
2016,2,"Beaufort","county",47610,0.42
2017,2,"Beaufort","county",47547,0.42
2011,0,"Bertie","county",20890,0
2012,0,"Bertie","county",20665,0
2013,1,"Bertie","county",20595,0.49
2014,0,"Bertie","county",20617,0
2015,0,"Bertie","county",20533,0
2016,0,"Bertie","county",19847,0
2017,0,"Bertie","county",19881,0
2011,0,"Bladen","county",35148,0
2012,1,"Bladen","county",35200,0.28
2013,0,"Bladen","county",35209,0
2014,0,"Bladen","county",35113,0
2015,0,"Bladen","county",35011,0
2016,0,"Bladen","county",34667,0
2017,0,"Bladen","county",34393,0
2011,2,"Brunswick","county",110140,0.18
2012,2,"Brunswick","county",112597,0.18
2013,0,"Brunswick","county",115716,0
2014,0,"Brunswick","county",117834,0
2015,1,"Brunswick","county",123535,0.08
2016,1,"Brunswick","county",127750,0.08
2017,1,"Brunswick","county",131726,0.08
2011,3,"Buncombe","county",243855,0.12
2012,5,"Buncombe","county",245535,0.2
2013,3,"Buncombe","county",248872,0.12
2014,3,"Buncombe","county",251275,0.12
2015,2,"Buncombe","county",254836,0.08
2016,3,"Buncombe","county",258406,0.12
2017,3,"Buncombe","county",261532,0.11
2011,1,"Burke","county",90722,0.11
2012,0,"Burke","county",89977,0
2013,0,"Burke","county",89519,0
2014,0,"Burke","county",89197,0
2015,0,"Burke","county",89114,0
2016,0,"Burke","county",89814,0
2017,0,"Burke","county",90246,0
2011,1,"Cabarrus","county",181253,0.06
2012,2,"Cabarrus","county",183565,0.11
2013,2,"Cabarrus","county",186457,0.11
2014,0,"Cabarrus","county",191060,0
2015,1,"Cabarrus","county",195714,0.05
2016,2,"Cabarrus","county",200663,0.1
2017,2,"Cabarrus","county",205473,0.1
2011,0,"Caldwell","county",83117,0
2012,0,"Caldwell","county",82605,0
2013,0,"Caldwell","county",82504,0
2014,0,"Caldwell","county",82445,0
2015,0,"Caldwell","county",82577,0
2016,0,"Caldwell","county",82793,0
2017,0,"Caldwell","county",83303,0
2011,0,"Camden","county",9921,0
2012,0,"Camden","county",9922,0
2013,0,"Camden","county",10174,0
2014,0,"Camden","county",10251,0
2015,0,"Camden","county",10224,0
2016,0,"Camden","county",10287,0
2017,0,"Camden","county",10359,0
2011,3,"Carteret","county",67696,0.44
2012,2,"Carteret","county",68362,0.29
2013,4,"Carteret","county",69239,0.58
2014,3,"Carteret","county",69350,0.43
2015,2,"Carteret","county",69826,0.29
2016,2,"Carteret","county",69881,0.29
2017,2,"Carteret","county",70190,0.28
2011,0,"Caswell","county",23654,0
2012,0,"Caswell","county",23492,0
2013,0,"Caswell","county",23844,0
2014,0,"Caswell","county",23602,0
2015,0,"Caswell","county",23606,0
2016,0,"Caswell","county",23689,0
2017,0,"Caswell","county",23699,0
2011,2,"Catawba","county",154992,0.13
2012,2,"Catawba","county",155494,0.13
2013,3,"Catawba","county",155411,0.19
2014,4,"Catawba","county",155830,0.26
2015,3,"Catawba","county",155828,0.19
2016,3,"Catawba","county",156473,0.19
2017,2,"Catawba","county",156949,0.13
2011,0,"Chatham","county",64553,0
2012,0,"Chatham","county",66545,0
2013,0,"Chatham","county",67620,0
2014,0,"Chatham","county",68725,0
2015,0,"Chatham","county",71815,0
2016,0,"Chatham","county",73286,0
2017,0,"Chatham","county",74835,0
2011,0,"Cherokee","county",27300,0
2012,0,"Cherokee","county",27030,0
2013,0,"Cherokee","county",27471,0
2014,0,"Cherokee","county",27451,0
2015,0,"Cherokee","county",27770,0
2016,0,"Cherokee","county",28591,0
2017,0,"Cherokee","county",29216,0
2011,0,"Chowan","county",14796,0
2012,0,"Chowan","county",14743,0
2013,0,"Chowan","county",14815,0
2014,0,"Chowan","county",14636,0
2015,0,"Chowan","county",14541,0
2016,0,"Chowan","county",14410,0
2017,0,"Chowan","county",14292,0
2011,0,"Clay","county",10460,0
2012,0,"Clay","county",10520,0
2013,0,"Clay","county",10794,0
2014,0,"Clay","county",10794,0
2015,0,"Clay","county",11036,0
2016,0,"Clay","county",11320,0
2017,0,"Clay","county",11488,0
2011,1,"Cleveland","county",98209,0.1
2012,1,"Cleveland","county",97702,0.1
2013,0,"Cleveland","county",97429,0
2014,0,"Cleveland","county",97920,0
2015,0,"Cleveland","county",97871,0
2016,0,"Cleveland","county",98244,0
2017,0,"Cleveland","county",98580,0
2011,1,"Columbus","county",57657,0.17
2012,1,"Columbus","county",57862,0.17
2013,1,"Columbus","county",57739,0.17
2014,1,"Columbus","county",57632,0.17
2015,2,"Columbus","county",57206,0.35
2016,2,"Columbus","county",57182,0.35
2017,1,"Columbus","county",56941,0.18
2011,2,"Craven","county",104965,0.19
2012,3,"Craven","county",105179,0.29
2013,1,"Craven","county",104421,0.1
2014,1,"Craven","county",104520,0.1
2015,0,"Craven","county",103691,0
2016,0,"Craven","county",103737,0
2017,0,"Craven","county",103735,0
2011,11,"Cumberland","county",327643,0.34
2012,12,"Cumberland","county",330754,0.36
2013,4,"Cumberland","county",332553,0.12
2014,12,"Cumberland","county",329403,0.36
2015,8,"Cumberland","county",328860,0.24
2016,7,"Cumberland","county",329824,0.21
2017,12,"Cumberland","county",329604,0.36
2011,0,"Currituck","county",23643,0
2012,0,"Currituck","county",23767,0
2013,0,"Currituck","county",24506,0
2014,0,"Currituck","county",25072,0
2015,0,"Currituck","county",25627,0
2016,0,"Currituck","county",26101,0
2017,0,"Currituck","county",26604,0
2011,1,"Dare","county",34216,0.29
2012,1,"Dare","county",34810,0.29
2013,1,"Dare","county",35273,0.28
2014,1,"Dare","county",35415,0.28
2015,1,"Dare","county",36001,0.28
2016,1,"Dare","county",36387,0.27
2017,1,"Dare","county",36792,0.27
2011,0,"Davidson","county",163364,0
2012,0,"Davidson","county",163410,0
2013,1,"Davidson","county",163770,0.06
2014,1,"Davidson","county",164454,0.06
2015,1,"Davidson","county",165193,0.06
2016,1,"Davidson","county",166137,0.06
2017,1,"Davidson","county",167105,0.06
2011,1,"Davie","county",41560,0.24
2012,1,"Davie","county",41412,0.24
2013,1,"Davie","county",41507,0.24
2014,1,"Davie","county",41476,0.24
2015,0,"Davie","county",41743,0
2016,0,"Davie","county",42211,0
2017,0,"Davie","county",42727,0
2011,0,"Duplin","county",59476,0
2012,0,"Duplin","county",60059,0
2013,0,"Duplin","county",60104,0
2014,1,"Duplin","county",60126,0.17
2015,1,"Duplin","county",59868,0.17
2016,0,"Duplin","county",59597,0
2017,0,"Duplin","county",59513,0
2011,3,"Durham","county",272314,0.11
2012,4,"Durham","county",282511,0.14
2013,5,"Durham","county",286053,0.17
2014,3,"Durham","county",292191,0.1
2015,3,"Durham","county",297219,0.1
2016,3,"Durham","county",301520,0.1
2017,4,"Durham","county",306184,0.13
2011,0,"Edgecombe","county",56089,0
2012,0,"Edgecombe","county",56085,0
2013,0,"Edgecombe","county",55704,0
2014,0,"Edgecombe","county",55483,0
2015,0,"Edgecombe","county",54367,0
2016,0,"Edgecombe","county",53502,0
2017,0,"Edgecombe","county",52856,0
2011,12,"Forsyth","county",354878,0.34
2012,10,"Forsyth","county",357767,0.28
2013,14,"Forsyth","county",360471,0.39
2014,11,"Forsyth","county",364248,0.3
2015,10,"Forsyth","county",366543,0.27
2016,10,"Forsyth","county",369144,0.27
2017,9,"Forsyth","county",372651,0.24
2011,0,"Franklin","county",61651,0
2012,0,"Franklin","county",61840,0
2013,1,"Franklin","county",62697,0.16
2014,0,"Franklin","county",63225,0
2015,0,"Franklin","county",64206,0
2016,0,"Franklin","county",65445,0
2017,0,"Franklin","county",66514,0
2011,2,"Gaston","county",207506,0.1
2012,2,"Gaston","county",208582,0.1
2013,2,"Gaston","county",209571,0.1
2014,2,"Gaston","county",210735,0.09
2015,2,"Gaston","county",212636,0.09
2016,3,"Gaston","county",215489,0.14
2017,2,"Gaston","county",218527,0.09
2011,0,"Gates","county",11944,0
2012,0,"Gates","county",11830,0
2013,0,"Gates","county",11880,0
2014,0,"Gates","county",11912,0
2015,0,"Gates","county",11739,0
2016,0,"Gates","county",11891,0
2017,0,"Gates","county",11960,0
2011,0,"Graham","county",8942,0
2012,0,"Graham","county",8850,0
2013,0,"Graham","county",8854,0
2014,0,"Graham","county",8829,0
2015,0,"Graham","county",8761,0
2016,0,"Graham","county",8835,0
2017,0,"Graham","county",8837,0
2011,0,"Granville","county",60863,0
2012,0,"Granville","county",56748,0
2013,1,"Granville","county",57910,0.17
2014,0,"Granville","county",58104,0
2015,0,"Granville","county",58547,0
2016,0,"Granville","county",59433,0
2017,0,"Granville","county",59975,0
2011,0,"Greene","county",21489,0
2012,0,"Greene","county",21363,0
2013,0,"Greene","county",21073,0
2014,0,"Greene","county",21286,0
2015,0,"Greene","county",21158,0
2016,0,"Greene","county",21421,0
2017,0,"Greene","county",21522,0
2011,4,"Guilford","county",495231,0.08
2012,4,"Guilford","county",502190,0.08
2013,6,"Guilford","county",507419,0.12
2014,4,"Guilford","county",512273,0.08
2015,5,"Guilford","county",517124,0.1
2016,6,"Guilford","county",520230,0.12
2017,6,"Guilford","county",523962,0.11
2011,0,"Halifax","county",54397,0
2012,0,"Halifax","county",54237,0
2013,0,"Halifax","county",53705,0
2014,0,"Halifax","county",53190,0
2015,0,"Halifax","county",52423,0
2016,0,"Halifax","county",52160,0
2017,0,"Halifax","county",51815,0
2011,7,"Harnett","county",118615,0.59
2012,7,"Harnett","county",121264,0.58
2013,6,"Harnett","county",123316,0.49
2014,8,"Harnett","county",125730,0.64
2015,8,"Harnett","county",127127,0.63
2016,9,"Harnett","county",128783,0.7
2017,10,"Harnett","county",130847,0.76
2011,0,"Haywood","county",59684,0
2012,0,"Haywood","county",59291,0
2013,0,"Haywood","county",59674,0
2014,0,"Haywood","county",59913,0
2015,0,"Haywood","county",60631,0
2016,0,"Haywood","county",61771,0
2017,0,"Haywood","county",62277,0
2011,0,"Henderson","county",108448,0
2012,0,"Henderson","county",108183,0
2013,0,"Henderson","county",109287,0
2014,0,"Henderson","county",110897,0
2015,0,"Henderson","county",112511,0
2016,0,"Henderson","county",114385,0
2017,0,"Henderson","county",116173,0
2011,1,"Hertford","county",24466,0.41
2012,1,"Hertford","county",24451,0.41
2013,0,"Hertford","county",24621,0
2014,0,"Hertford","county",24578,0
2015,0,"Hertford","county",24426,0
2016,0,"Hertford","county",24038,0
2017,0,"Hertford","county",23947,0
2011,1,"Hoke","county",49065,0.2
2012,0,"Hoke","county",50036,0
2013,1,"Hoke","county",50672,0.2
2014,0,"Hoke","county",50982,0
2015,0,"Hoke","county",51776,0
2016,0,"Hoke","county",52214,0
2017,1,"Hoke","county",53343,0.19
2011,0,"Hyde","county",5815,0
2012,0,"Hyde","county",5742,0
2013,0,"Hyde","county",5806,0
2014,0,"Hyde","county",5738,0
2015,0,"Hyde","county",5631,0
2016,0,"Hyde","county",5621,0
2017,0,"Hyde","county",5644,0
2011,2,"Iredell","county",161522,0.12
2012,2,"Iredell","county",163043,0.12
2013,1,"Iredell","county",164974,0.06
2014,1,"Iredell","county",167157,0.06
2015,1,"Iredell","county",170230,0.06
2016,1,"Iredell","county",173391,0.06
2017,2,"Iredell","county",176563,0.11
2011,0,"Jackson","county",40606,0
2012,0,"Jackson","county",40788,0
2013,0,"Jackson","county",40810,0
2014,0,"Jackson","county",41039,0
2015,0,"Jackson","county",41597,0
2016,0,"Jackson","county",42574,0
2017,0,"Jackson","county",43116,0
2011,2,"Johnston","county",172570,0.12
2012,2,"Johnston","county",174839,0.11
2013,2,"Johnston","county",177308,0.11
2014,3,"Johnston","county",180048,0.17
2015,2,"Johnston","county",184519,0.11
2016,1,"Johnston","county",189460,0.05
2017,3,"Johnston","county",194705,0.15
2011,0,"Jones","county",10327,0
2012,0,"Jones","county",10615,0
2013,0,"Jones","county",10554,0
2014,0,"Jones","county",10468,0
2015,0,"Jones","county",10423,0
2016,0,"Jones","county",10354,0
2017,0,"Jones","county",10356,0
2011,0,"Lee","county",58304,0
2012,0,"Lee","county",59111,0
2013,0,"Lee","county",59344,0
2014,2,"Lee","county",59194,0.34
2015,1,"Lee","county",58908,0.17
2016,0,"Lee","county",59244,0
2017,1,"Lee","county",59337,0.17
2011,0,"Lenoir","county",59314,0
2012,0,"Lenoir","county",59401,0
2013,1,"Lenoir","county",59046,0.17
2014,2,"Lenoir","county",58830,0.34
2015,2,"Lenoir","county",58338,0.34
2016,2,"Lenoir","county",57587,0.35
2017,2,"Lenoir","county",57477,0.35
2011,0,"Lincoln","county",79026,0
2012,0,"Lincoln","county",79267,0
2013,0,"Lincoln","county",79745,0
2014,0,"Lincoln","county",80202,0
2015,0,"Lincoln","county",81397,0
2016,0,"Lincoln","county",82033,0
2017,0,"Lincoln","county",83251,0
2011,0,"Macon","county",34459,0
2012,0,"Macon","county",33985,0
2013,1,"Macon","county",34151,0.29
2014,1,"Macon","county",34428,0.29
2015,1,"Macon","county",34771,0.29
2016,1,"Macon","county",35047,0.29
2017,1,"Macon","county",35413,0.28
2011,0,"Madison","county",21193,0
2012,0,"Madison","county",21192,0
2013,0,"Madison","county",21372,0
2014,0,"Madison","county",21584,0
2015,0,"Madison","county",21663,0
2016,0,"Madison","county",21979,0
2017,0,"Madison","county",22240,0
2011,0,"Martin","county",24083,0
2012,0,"Martin","county",24020,0
2013,0,"Martin","county",23750,0
2014,0,"Martin","county",23714,0
2015,0,"Martin","county",23746,0
2016,0,"Martin","county",23606,0
2017,0,"Martin","county",23510,0
2011,0,"McDowell","county",45462,0
2012,0,"McDowell","county",45288,0
2013,0,"McDowell","county",45231,0
2014,0,"McDowell","county",45320,0
2015,0,"McDowell","county",45370,0
2016,0,"McDowell","county",45510,0
2017,0,"McDowell","county",45716,0
2011,9,"Mecklenburg","county",940697,0.1
2012,12,"Mecklenburg","county",963165,0.12
2013,16,"Mecklenburg","county",991867,0.16
2014,18,"Mecklenburg","county",1013199,0.18
