"year","total","region","type","population","providerRate"
2011,17,"Area L","ahec",309832,0.55
2012,17,"Area L","ahec",309165,0.55
2013,13,"Area L","ahec",306794,0.42
2014,15,"Area L","ahec",305841,0.49
2015,14,"Area L","ahec",303922,0.46
2016,15,"Area L","ahec",302629,0.5
2017,14,"Area L","ahec",301780,0.46
2011,146,"Charlotte","ahec",1799166,0.81
2012,153,"Charlotte","ahec",1827256,0.84
2013,154,"Charlotte","ahec",1863538,0.83
2014,157,"Charlotte","ahec",1896573,0.83
2015,168,"Charlotte","ahec",1930604,0.87
2016,158,"Charlotte","ahec",1961268,0.81
2017,175,"Charlotte","ahec",1999372,0.88
2011,60,"Eastern","ahec",1044211,0.57
2012,55,"Eastern","ahec",1055120,0.52
2013,46,"Eastern","ahec",1059704,0.43
2014,50,"Eastern","ahec",1060701,0.47
2015,49,"Eastern","ahec",1062244,0.46
2016,53,"Eastern","ahec",1061127,0.5
2017,51,"Eastern","ahec",1064705,0.48
2011,78,"Greensboro","ahec",1136068,0.69
2012,81,"Greensboro","ahec",1147212,0.71
2013,77,"Greensboro","ahec",1154755,0.67
2014,76,"Greensboro","ahec",1163764,0.65
2015,68,"Greensboro","ahec",1173064,0.58
2016,72,"Greensboro","ahec",1180482,0.61
2017,68,"Greensboro","ahec",1190264,0.57
2011,69,"Mountain","ahec",770362,0.9
2012,67,"Mountain","ahec",769642,0.87
2013,63,"Mountain","ahec",776064,0.81
2014,68,"Mountain","ahec",781867,0.87
2015,65,"Mountain","ahec",789383,0.82
2016,67,"Mountain","ahec",799550,0.84
2017,68,"Mountain","ahec",807857,0.84
2011,118,"Northwest","ahec",1563589,0.75
2012,117,"Northwest","ahec",1566740,0.75
2013,97,"Northwest","ahec",1571258,0.62
2014,121,"Northwest","ahec",1579059,0.77
2015,122,"Northwest","ahec",1586703,0.77
2016,127,"Northwest","ahec",1598199,0.79
2017,130,"Northwest","ahec",1610400,0.81
2011,39,"South East","ahec",487484,0.8
2012,36,"South East","ahec",494872,0.73
2013,31,"South East","ahec",502936,0.62
2014,31,"South East","ahec",509080,0.61
2015,29,"South East","ahec",518781,0.56
2016,31,"South East","ahec",527596,0.59
2017,33,"South East","ahec",536440,0.62
2011,39,"Southern Regional","ahec",900751,0.43
2012,42,"Southern Regional","ahec",909169,0.46
2013,30,"Southern Regional","ahec",914274,0.33
2014,39,"Southern Regional","ahec",913874,0.43
2015,44,"Southern Regional","ahec",915808,0.48
2016,43,"Southern Regional","ahec",918447,0.47
2017,37,"Southern Regional","ahec",921525,0.4
2011,139,"Wake AHEC","ahec",1657781,0.84
2012,130,"Wake AHEC","ahec",1686053,0.77
2013,123,"Wake AHEC","ahec",1712629,0.72
2014,135,"Wake AHEC","ahec",1742928,0.77
2015,129,"Wake AHEC","ahec",1776174,0.73
2016,134,"Wake AHEC","ahec",1806644,0.74
2017,141,"Wake AHEC","ahec",1840349,0.77
2011,8,"Alamance","county",152531,0.52
2012,7,"Alamance","county",153029,0.46
2013,6,"Alamance","county",153595,0.39
2014,7,"Alamance","county",155789,0.45
2015,6,"Alamance","county",157522,0.38
2016,8,"Alamance","county",159054,0.5
2017,6,"Alamance","county",161076,0.37
2011,1,"Alexander","county",37528,0.27
2012,1,"Alexander","county",37389,0.27
2013,1,"Alexander","county",37436,0.27
2014,1,"Alexander","county",37832,0.26
2015,1,"Alexander","county",37952,0.26
2016,1,"Alexander","county",38284,0.26
2017,1,"Alexander","county",38452,0.26
2011,0,"Alleghany","county",11069,0
2012,0,"Alleghany","county",10971,0
2013,0,"Alleghany","county",11052,0
2014,0,"Alleghany","county",11099,0
2015,0,"Alleghany","county",11190,0
2016,0,"Alleghany","county",11202,0
2017,0,"Alleghany","county",11233,0
2011,0,"Anson","county",25822,0
2012,0,"Anson","county",26626,0
2013,0,"Anson","county",26318,0
2014,0,"Anson","county",26468,0
2015,0,"Anson","county",26155,0
2016,0,"Anson","county",25628,0
2017,0,"Anson","county",25626,0
2011,0,"Ashe","county",27423,0
2012,0,"Ashe","county",27361,0
2013,0,"Ashe","county",27434,0
2014,0,"Ashe","county",27448,0
2015,0,"Ashe","county",27332,0
2016,0,"Ashe","county",27344,0
2017,1,"Ashe","county",27218,0.37
2011,0,"Avery","county",17834,0
2012,0,"Avery","county",17764,0
2013,0,"Avery","county",17872,0
2014,0,"Avery","county",17895,0
2015,0,"Avery","county",17816,0
2016,0,"Avery","county",18098,0
2017,0,"Avery","county",18072,0
2011,3,"Beaufort","county",47854,0.63
2012,3,"Beaufort","county",47901,0.63
2013,2,"Beaufort","county",47777,0.42
2014,1,"Beaufort","county",47717,0.21
2015,2,"Beaufort","county",47829,0.42
2016,2,"Beaufort","county",47610,0.42
2017,2,"Beaufort","county",47547,0.42
2011,0,"Bertie","county",20890,0
2012,0,"Bertie","county",20665,0
2013,0,"Bertie","county",20595,0
2014,0,"Bertie","county",20617,0
2015,0,"Bertie","county",20533,0
2016,0,"Bertie","county",19847,0
2017,0,"Bertie","county",19881,0
2011,0,"Bladen","county",35148,0
2012,0,"Bladen","county",35200,0
2013,0,"Bladen","county",35209,0
2014,0,"Bladen","county",35113,0
2015,0,"Bladen","county",35011,0
2016,0,"Bladen","county",34667,0
2017,0,"Bladen","county",34393,0
