"year","total","region","type","population","providerRate","percentFemale","percentAge","percentUnderrepresented"
2000,31,"Area L","ahec",296296,1.05,0.7097,0.0323,0.0645
2001,33,"Area L","ahec",296584,1.11,0.697,0.0303,0.0303
2002,36,"Area L","ahec",298557,1.21,0.6667,0.0278,0.0556
2003,32,"Area L","ahec",300530,1.06,0.6563,0.0313,0.0313
2004,25,"Area L","ahec",299402,0.83,0.68,0.04,0
2005,26,"Area L","ahec",299977,0.87,0.6154,0.0769,0
2006,28,"Area L","ahec",299459,0.94,0.6786,0.1071,0.0714
2007,25,"Area L","ahec",299285,0.84,0.68,0.08,0.04
2008,28,"Area L","ahec",301094,0.93,0.7143,0.0714,0.0714
2009,28,"Area L","ahec",303354,0.92,0.6786,0.0357,0.1071
2010,26,"Area L","ahec",311268,0.84,0.6923,0.0385,0.1154
2011,25,"Area L","ahec",309832,0.81,0.68,0.08,0.12
2012,23,"Area L","ahec",309165,0.74,0.7391,0.0435,0.087
2013,24,"Area L","ahec",306794,0.78,0.75,0.0417,0.0833
2014,24,"Area L","ahec",305841,0.78,0.7917,0.0833,0.0833
2015,23,"Area L","ahec",303922,0.76,0.7826,0.087,0.087
2016,20,"Area L","ahec",302629,0.66,0.8,0.2,0.1
2017,18,"Area L","ahec",301780,0.6,0.7778,0.1111,0.2222
2000,143,"Charlotte","ahec",1384001,1.03,0.6923,0.007,0.0629
2001,148,"Charlotte","ahec",1419589,1.04,0.7162,0.0068,0.0676
2002,149,"Charlotte","ahec",1452485,1.03,0.7047,0.0067,0.0604
2003,142,"Charlotte","ahec",1485382,0.96,0.7324,0.007,0.0704
2004,133,"Charlotte","ahec",1510434,0.88,0.7519,0.015,0.0827
2005,130,"Charlotte","ahec",1539732,0.84,0.7462,0.0154,0.0923
2006,129,"Charlotte","ahec",1605915,0.8,0.7209,0.0155,0.093
2007,137,"Charlotte","ahec",1665257,0.82,0.7372,0.0146,0.0876
2008,131,"Charlotte","ahec",1701378,0.77,0.7176,0.0229,0.084
2009,143,"Charlotte","ahec",1732010,0.83,0.7413,0.021,0.0909
2010,139,"Charlotte","ahec",1776565,0.78,0.7482,0.036,0.0791
2011,137,"Charlotte","ahec",1799166,0.76,0.7737,0.0365,0.0803
2012,141,"Charlotte","ahec",1827256,0.77,0.7589,0.0426,0.078
2013,132,"Charlotte","ahec",1863538,0.71,0.7803,0.0758,0.0833
2014,120,"Charlotte","ahec",1896573,0.63,0.7417,0.0917,0.0833
2015,125,"Charlotte","ahec",1930604,0.65,0.752,0.112,0.104
2016,126,"Charlotte","ahec",1961268,0.64,0.754,0.127,0.1111
2017,129,"Charlotte","ahec",1999372,0.65,0.7597,0.1628,0.1085
2000,131,"Eastern","ahec",913210,1.43,0.6489,0.0076,0.0534
2001,130,"Eastern","ahec",914567,1.42,0.6538,0.0308,0.0538
2002,134,"Eastern","ahec",923021,1.45,0.6791,0.0224,0.0448
2003,130,"Eastern","ahec",931473,1.4,0.6923,0.0231,0.0462
2004,118,"Eastern","ahec",947271,1.25,0.6864,0.0254,0.0678
2005,123,"Eastern","ahec",957168,1.29,0.7317,0.0244,0.0732
2006,125,"Eastern","ahec",967485,1.29,0.744,0.024,0.056
2007,126,"Eastern","ahec",1002600,1.26,0.7778,0.0159,0.0714
2008,119,"Eastern","ahec",995121,1.2,0.7311,0.0252,0.0672
2009,132,"Eastern","ahec",1007683,1.31,0.7652,0.0379,0.0758
2010,129,"Eastern","ahec",1035493,1.25,0.7674,0.0543,0.0698
2011,125,"Eastern","ahec",1044211,1.2,0.752,0.08,0.056
2012,127,"Eastern","ahec",1055120,1.2,0.7717,0.0787,0.063
2013,128,"Eastern","ahec",1059704,1.21,0.7891,0.1016,0.0703
2014,117,"Eastern","ahec",1060701,1.1,0.7692,0.1368,0.0598
2015,121,"Eastern","ahec",1062244,1.14,0.7603,0.1488,0.0661
2016,120,"Eastern","ahec",1061127,1.13,0.8,0.1583,0.0667
2017,113,"Eastern","ahec",1064705,1.06,0.823,0.1681,0.0796
2000,102,"Greensboro","ahec",992109,1.03,0.6176,0.0196,0.0392
