"year","total","region","type","population","providerRate"
2011,13,"Area L","ahec",309832,0.42
2012,14,"Area L","ahec",309165,0.45
2013,15,"Area L","ahec",306794,0.49
2014,11,"Area L","ahec",305841,0.36
2015,12,"Area L","ahec",303922,0.39
2016,12,"Area L","ahec",302629,0.4
2017,12,"Area L","ahec",301780,0.4
2011,117,"Charlotte","ahec",1799166,0.65
2012,122,"Charlotte","ahec",1827256,0.67
2013,109,"Charlotte","ahec",1863538,0.58
2014,116,"Charlotte","ahec",1896573,0.61
2015,128,"Charlotte","ahec",1930604,0.66
2016,134,"Charlotte","ahec",1961268,0.68
2017,152,"Charlotte","ahec",1999372,0.76
2011,91,"Eastern","ahec",1044211,0.87
2012,91,"Eastern","ahec",1055120,0.86
2013,77,"Eastern","ahec",1059704,0.73
2014,88,"Eastern","ahec",1060701,0.83
2015,81,"Eastern","ahec",1062244,0.76
2016,81,"Eastern","ahec",1061127,0.76
2017,73,"Eastern","ahec",1064705,0.69
2011,173,"Greensboro","ahec",1136068,1.52
2012,176,"Greensboro","ahec",1147212,1.53
2013,175,"Greensboro","ahec",1154755,1.52
2014,172,"Greensboro","ahec",1163764,1.48
2015,182,"Greensboro","ahec",1173064,1.55
2016,183,"Greensboro","ahec",1180482,1.55
2017,186,"Greensboro","ahec",1190264,1.56
2011,73,"Mountain","ahec",770362,0.95
2012,76,"Mountain","ahec",769642,0.99
2013,64,"Mountain","ahec",776064,0.82
2014,70,"Mountain","ahec",781867,0.9
2015,69,"Mountain","ahec",789383,0.87
2016,81,"Mountain","ahec",799550,1.01
2017,81,"Mountain","ahec",807857,1
2011,136,"Northwest","ahec",1563589,0.87
2012,143,"Northwest","ahec",1566740,0.91
2013,129,"Northwest","ahec",1571258,0.82
2014,136,"Northwest","ahec",1579059,0.86
2015,134,"Northwest","ahec",1586703,0.84
2016,140,"Northwest","ahec",1598199,0.88
2017,144,"Northwest","ahec",1610400,0.89
2011,36,"South East","ahec",487484,0.74
2012,38,"South East","ahec",494872,0.77
2013,32,"South East","ahec",502936,0.64
2014,28,"South East","ahec",509080,0.55
2015,33,"South East","ahec",518781,0.64
2016,35,"South East","ahec",527596,0.66
2017,43,"South East","ahec",536440,0.8
2011,45,"Southern Regional","ahec",900751,0.5
2012,40,"Southern Regional","ahec",909169,0.44
2013,40,"Southern Regional","ahec",914274,0.44
2014,44,"Southern Regional","ahec",913874,0.48
2015,43,"Southern Regional","ahec",915808,0.47
2016,42,"Southern Regional","ahec",918447,0.46
2017,40,"Southern Regional","ahec",921525,0.43
2011,313,"Wake AHEC","ahec",1657781,1.89
2012,313,"Wake AHEC","ahec",1686053,1.86
2013,267,"Wake AHEC","ahec",1712629,1.56
2014,286,"Wake AHEC","ahec",1742928,1.64
2015,281,"Wake AHEC","ahec",1776174,1.58
2016,284,"Wake AHEC","ahec",1806644,1.57
2017,302,"Wake AHEC","ahec",1840349,1.64
2011,12,"Alamance","county",152531,0.79
2012,15,"Alamance","county",153029,0.98
2013,11,"Alamance","county",153595,0.72
2014,12,"Alamance","county",155789,0.77
2015,13,"Alamance","county",157522,0.83
2016,13,"Alamance","county",159054,0.82
2017,10,"Alamance","county",161076,0.62
2011,2,"Alexander","county",37528,0.53
2012,2,"Alexander","county",37389,0.53
2013,1,"Alexander","county",37436,0.27
2014,1,"Alexander","county",37832,0.26
2015,0,"Alexander","county",37952,0
2016,0,"Alexander","county",38284,0
2017,0,"Alexander","county",38452,0
2011,0,"Alleghany","county",11069,0
2012,0,"Alleghany","county",10971,0
2013,0,"Alleghany","county",11052,0
2014,0,"Alleghany","county",11099,0
2015,0,"Alleghany","county",11190,0
2016,0,"Alleghany","county",11202,0
2017,0,"Alleghany","county",11233,0
2011,0,"Anson","county",25822,0
2012,0,"Anson","county",26626,0
2013,0,"Anson","county",26318,0
2014,0,"Anson","county",26468,0
2015,0,"Anson","county",26155,0
2016,0,"Anson","county",25628,0
2017,0,"Anson","county",25626,0
2011,0,"Ashe","county",27423,0
2012,0,"Ashe","county",27361,0
2013,0,"Ashe","county",27434,0
2014,0,"Ashe","county",27448,0
2015,0,"Ashe","county",27332,0
2016,0,"Ashe","county",27344,0
2017,0,"Ashe","county",27218,0
2011,2,"Avery","county",17834,1.12
2012,2,"Avery","county",17764,1.13
2013,2,"Avery","county",17872,1.12
2014,4,"Avery","county",17895,2.24
2015,2,"Avery","county",17816,1.12
2016,2,"Avery","county",18098,1.11
2017,3,"Avery","county",18072,1.66
2011,2,"Beaufort","county",47854,0.42
2012,1,"Beaufort","county",47901,0.21
2013,1,"Beaufort","county",47777,0.21
2014,2,"Beaufort","county",47717,0.42
2015,2,"Beaufort","county",47829,0.42
2016,3,"Beaufort","county",47610,0.63
2017,1,"Beaufort","county",47547,0.21
2011,0,"Bertie","county",20890,0
2012,0,"Bertie","county",20665,0
2013,0,"Bertie","county",20595,0
2014,0,"Bertie","county",20617,0
2015,0,"Bertie","county",20533,0
2016,0,"Bertie","county",19847,0
2017,0,"Bertie","county",19881,0
2011,0,"Bladen","county",35148,0
2012,0,"Bladen","county",35200,0
2013,1,"Bladen","county",35209,0.28
2014,1,"Bladen","county",35113,0.28
2015,0,"Bladen","county",35011,0
2016,0,"Bladen","county",34667,0
2017,0,"Bladen","county",34393,0
2011,1,"Brunswick","county",110140,0.09
2012,1,"Brunswick","county",112597,0.09
2013,2,"Brunswick","county",115716,0.17
2014,3,"Brunswick","county",117834,0.25
2015,3,"Brunswick","county",123535,0.24
2016,3,"Brunswick","county",127750,0.23
2017,6,"Brunswick","county",131726,0.46
2011,48,"Buncombe","county",243855,1.97
