"year","total","region","type","population","providerRate"
2011,1,"Area L","ahec",309832,0.03
2012,1,"Area L","ahec",309165,0.03
2013,2,"Area L","ahec",306794,0.07
2014,2,"Area L","ahec",305841,0.07
2015,3,"Area L","ahec",303922,0.1
2016,3,"Area L","ahec",302629,0.1
2017,4,"Area L","ahec",301780,0.13
2011,59,"Charlotte","ahec",1799166,0.33
2012,59,"Charlotte","ahec",1827256,0.32
2013,67,"Charlotte","ahec",1863538,0.36
2014,69,"Charlotte","ahec",1896573,0.36
2015,72,"Charlotte","ahec",1930604,0.37
2016,85,"Charlotte","ahec",1961268,0.43
2017,78,"Charlotte","ahec",1999372,0.39
2011,13,"Eastern","ahec",1044211,0.12
2012,14,"Eastern","ahec",1055120,0.13
2013,19,"Eastern","ahec",1059704,0.18
2014,16,"Eastern","ahec",1060701,0.15
2015,15,"Eastern","ahec",1062244,0.14
2016,18,"Eastern","ahec",1061127,0.17
2017,19,"Eastern","ahec",1064705,0.18
2011,35,"Greensboro","ahec",1136068,0.31
2012,32,"Greensboro","ahec",1147212,0.28
2013,51,"Greensboro","ahec",1154755,0.44
2014,48,"Greensboro","ahec",1163764,0.41
2015,45,"Greensboro","ahec",1173064,0.38
2016,45,"Greensboro","ahec",1180482,0.38
2017,44,"Greensboro","ahec",1190264,0.37
2011,17,"Mountain","ahec",770362,0.22
2012,20,"Mountain","ahec",769642,0.26
2013,25,"Mountain","ahec",776064,0.32
2014,24,"Mountain","ahec",781867,0.31
2015,25,"Mountain","ahec",789383,0.32
2016,24,"Mountain","ahec",799550,0.3
2017,24,"Mountain","ahec",807857,0.3
2011,30,"Northwest","ahec",1563589,0.19
2012,31,"Northwest","ahec",1566740,0.2
2013,54,"Northwest","ahec",1571258,0.34
2014,42,"Northwest","ahec",1579059,0.27
2015,43,"Northwest","ahec",1586703,0.27
2016,41,"Northwest","ahec",1598199,0.26
2017,43,"Northwest","ahec",1610400,0.27
2011,10,"South East","ahec",487484,0.21
2012,14,"South East","ahec",494872,0.28
2013,14,"South East","ahec",502936,0.28
2014,17,"South East","ahec",509080,0.33
2015,17,"South East","ahec",518781,0.33
2016,18,"South East","ahec",527596,0.34
2017,17,"South East","ahec",536440,0.32
2011,8,"Southern Regional","ahec",900751,0.09
2012,7,"Southern Regional","ahec",909169,0.08
2013,16,"Southern Regional","ahec",914274,0.18
2014,16,"Southern Regional","ahec",913874,0.18
2015,13,"Southern Regional","ahec",915808,0.14
2016,14,"Southern Regional","ahec",918447,0.15
2017,15,"Southern Regional","ahec",921525,0.16
2011,44,"Wake AHEC","ahec",1657781,0.27
2012,51,"Wake AHEC","ahec",1686053,0.3
2013,75,"Wake AHEC","ahec",1712629,0.44
2014,72,"Wake AHEC","ahec",1742928,0.41
2015,74,"Wake AHEC","ahec",1776174,0.42
2016,74,"Wake AHEC","ahec",1806644,0.41
2017,72,"Wake AHEC","ahec",1840349,0.39
2011,0,"Alamance","county",152531,0
2012,0,"Alamance","county",153029,0
2013,3,"Alamance","county",153595,0.2
2014,3,"Alamance","county",155789,0.19
2015,3,"Alamance","county",157522,0.19
2016,1,"Alamance","county",159054,0.06
2017,2,"Alamance","county",161076,0.12
2011,0,"Alexander","county",37528,0
2012,0,"Alexander","county",37389,0
2013,0,"Alexander","county",37436,0
2014,0,"Alexander","county",37832,0
2015,0,"Alexander","county",37952,0
2016,0,"Alexander","county",38284,0
2017,0,"Alexander","county",38452,0
2011,0,"Alleghany","county",11069,0
2012,0,"Alleghany","county",10971,0
2013,0,"Alleghany","county",11052,0
2014,0,"Alleghany","county",11099,0
2015,0,"Alleghany","county",11190,0
2016,0,"Alleghany","county",11202,0
2017,0,"Alleghany","county",11233,0
2011,0,"Anson","county",25822,0
2012,0,"Anson","county",26626,0
2013,0,"Anson","county",26318,0
2014,0,"Anson","county",26468,0
2015,0,"Anson","county",26155,0
2016,0,"Anson","county",25628,0
2017,0,"Anson","county",25626,0
2011,0,"Ashe","county",27423,0
2012,0,"Ashe","county",27361,0
2013,0,"Ashe","county",27434,0
2014,0,"Ashe","county",27448,0
2015,0,"Ashe","county",27332,0
2016,0,"Ashe","county",27344,0
2017,0,"Ashe","county",27218,0
2011,0,"Avery","county",17834,0
2012,0,"Avery","county",17764,0
2013,0,"Avery","county",17872,0
2014,0,"Avery","county",17895,0
2015,1,"Avery","county",17816,0.56
2016,1,"Avery","county",18098,0.55
2017,1,"Avery","county",18072,0.55
2011,0,"Beaufort","county",47854,0
2012,0,"Beaufort","county",47901,0
2013,0,"Beaufort","county",47777,0
2014,0,"Beaufort","county",47717,0
2015,0,"Beaufort","county",47829,0
2016,0,"Beaufort","county",47610,0
2017,0,"Beaufort","county",47547,0
2011,0,"Bertie","county",20890,0
2012,0,"Bertie","county",20665,0
2013,0,"Bertie","county",20595,0
2014,0,"Bertie","county",20617,0
2015,0,"Bertie","county",20533,0
2016,0,"Bertie","county",19847,0
2017,0,"Bertie","county",19881,0
2011,0,"Bladen","county",35148,0
2012,0,"Bladen","county",35200,0
2013,0,"Bladen","county",35209,0
2014,0,"Bladen","county",35113,0
2015,0,"Bladen","county",35011,0
2016,0,"Bladen","county",34667,0
2017,0,"Bladen","county",34393,0
2011,1,"Brunswick","county",110140,0.09
2012,0,"Brunswick","county",112597,0
2013,0,"Brunswick","county",115716,0
2014,1,"Brunswick","county",117834,0.08
2015,1,"Brunswick","county",123535,0.08
2016,1,"Brunswick","county",127750,0.08
2017,1,"Brunswick","county",131726,0.08
2011,14,"Buncombe","county",243855,0.57
2012,14,"Buncombe","county",245535,0.57
2013,19,"Buncombe","county",248872,0.76
2014,17,"Buncombe","county",251275,0.68
2015,19,"Buncombe","county",254836,0.75
2016,18,"Buncombe","county",258406,0.7
2017,18,"Buncombe","county",261532,0.69
2011,1,"Burke","county",90722,0.11
2012,0,"Burke","county",89977,0
2013,2,"Burke","county",89519,0.22
2014,1,"Burke","county",89197,0.11
2015,0,"Burke","county",89114,0
2016,1,"Burke","county",89814,0.11
2017,1,"Burke","county",90246,0.11
2011,3,"Cabarrus","county",181253,0.17
2012,2,"Cabarrus","county",183565,0.11
2013,4,"Cabarrus","county",186457,0.21
2014,5,"Cabarrus","county",191060,0.26
2015,5,"Cabarrus","county",195714,0.26
2016,6,"Cabarrus","county",200663,0.3
2017,5,"Cabarrus","county",205473,0.24
2011,0,"Caldwell","county",83117,0
2012,0,"Caldwell","county",82605,0
2013,0,"Caldwell","county",82504,0
2014,0,"Caldwell","county",82445,0
2015,0,"Caldwell","county",82577,0
2016,0,"Caldwell","county",82793,0
2017,0,"Caldwell","county",83303,0
2011,0,"Camden","county",9921,0
2012,0,"Camden","county",9922,0
2013,0,"Camden","county",10174,0
2014,0,"Camden","county",10251,0
2015,0,"Camden","county",10224,0
2016,0,"Camden","county",10287,0
2017,0,"Camden","county",10359,0
2011,0,"Carteret","county",67696,0
2012,1,"Carteret","county",68362,0.15
2013,1,"Carteret","county",69239,0.14
2014,2,"Carteret","county",69350,0.29
2015,1,"Carteret","county",69826,0.14
