"year","total","region","type","population","providerRate"
2011,20,"Area L","ahec",309832,0.65
2012,16,"Area L","ahec",309165,0.52
2013,14,"Area L","ahec",306794,0.46
2014,14,"Area L","ahec",305841,0.46
2015,17,"Area L","ahec",303922,0.56
2016,16,"Area L","ahec",302629,0.53
2017,19,"Area L","ahec",301780,0.63
2011,114,"Charlotte","ahec",1799166,0.63
2012,111,"Charlotte","ahec",1827256,0.61
2013,110,"Charlotte","ahec",1863538,0.59
2014,113,"Charlotte","ahec",1896573,0.6
2015,113,"Charlotte","ahec",1930604,0.59
2016,113,"Charlotte","ahec",1961268,0.58
2017,123,"Charlotte","ahec",1999372,0.62
2011,74,"Eastern","ahec",1044211,0.71
2012,73,"Eastern","ahec",1055120,0.69
2013,62,"Eastern","ahec",1059704,0.59
2014,62,"Eastern","ahec",1060701,0.58
2015,60,"Eastern","ahec",1062244,0.56
2016,62,"Eastern","ahec",1061127,0.58
2017,63,"Eastern","ahec",1064705,0.59
2011,83,"Greensboro","ahec",1136068,0.73
2012,70,"Greensboro","ahec",1147212,0.61
2013,78,"Greensboro","ahec",1154755,0.68
2014,80,"Greensboro","ahec",1163764,0.69
2015,78,"Greensboro","ahec",1173064,0.66
2016,84,"Greensboro","ahec",1180482,0.71
2017,80,"Greensboro","ahec",1190264,0.67
2011,41,"Mountain","ahec",770362,0.53
2012,47,"Mountain","ahec",769642,0.61
2013,37,"Mountain","ahec",776064,0.48
2014,45,"Mountain","ahec",781867,0.58
2015,46,"Mountain","ahec",789383,0.58
2016,54,"Mountain","ahec",799550,0.68
2017,46,"Mountain","ahec",807857,0.57
2011,106,"Northwest","ahec",1563589,0.68
2012,101,"Northwest","ahec",1566740,0.64
2013,95,"Northwest","ahec",1571258,0.6
2014,104,"Northwest","ahec",1579059,0.66
2015,96,"Northwest","ahec",1586703,0.61
2016,99,"Northwest","ahec",1598199,0.62
2017,104,"Northwest","ahec",1610400,0.65
2011,32,"South East","ahec",487484,0.66
2012,29,"South East","ahec",494872,0.59
2013,27,"South East","ahec",502936,0.54
2014,29,"South East","ahec",509080,0.57
2015,32,"South East","ahec",518781,0.62
2016,33,"South East","ahec",527596,0.63
2017,33,"South East","ahec",536440,0.62
2011,43,"Southern Regional","ahec",900751,0.48
2012,42,"Southern Regional","ahec",909169,0.46
2013,36,"Southern Regional","ahec",914274,0.39
2014,40,"Southern Regional","ahec",913874,0.44
2015,46,"Southern Regional","ahec",915808,0.5
2016,44,"Southern Regional","ahec",918447,0.48
2017,46,"Southern Regional","ahec",921525,0.5
2011,116,"Wake AHEC","ahec",1657781,0.7
2012,111,"Wake AHEC","ahec",1686053,0.66
2013,92,"Wake AHEC","ahec",1712629,0.54
2014,96,"Wake AHEC","ahec",1742928,0.55
2015,96,"Wake AHEC","ahec",1776174,0.54
2016,99,"Wake AHEC","ahec",1806644,0.55
2017,106,"Wake AHEC","ahec",1840349,0.58
2011,8,"Alamance","county",152531,0.52
2012,8,"Alamance","county",153029,0.52
2013,6,"Alamance","county",153595,0.39
2014,8,"Alamance","county",155789,0.51
2015,8,"Alamance","county",157522,0.51
2016,10,"Alamance","county",159054,0.63
2017,10,"Alamance","county",161076,0.62
2011,0,"Alexander","county",37528,0
2012,0,"Alexander","county",37389,0
2013,0,"Alexander","county",37436,0
2014,0,"Alexander","county",37832,0
2015,0,"Alexander","county",37952,0
2016,0,"Alexander","county",38284,0
2017,0,"Alexander","county",38452,0
2011,1,"Alleghany","county",11069,0.9
2012,1,"Alleghany","county",10971,0.91
2013,1,"Alleghany","county",11052,0.9
2014,1,"Alleghany","county",11099,0.9
2015,0,"Alleghany","county",11190,0
2016,0,"Alleghany","county",11202,0
2017,0,"Alleghany","county",11233,0
2011,1,"Anson","county",25822,0.39
2012,1,"Anson","county",26626,0.38
2013,1,"Anson","county",26318,0.38
2014,2,"Anson","county",26468,0.76
2015,2,"Anson","county",26155,0.76
2016,2,"Anson","county",25628,0.78
2017,2,"Anson","county",25626,0.78
2011,3,"Ashe","county",27423,1.09
2012,2,"Ashe","county",27361,0.73
2013,2,"Ashe","county",27434,0.73
2014,2,"Ashe","county",27448,0.73
2015,2,"Ashe","county",27332,0.73
2016,2,"Ashe","county",27344,0.73
2017,2,"Ashe","county",27218,0.73
2011,2,"Avery","county",17834,1.12
2012,2,"Avery","county",17764,1.13
2013,0,"Avery","county",17872,0
2014,0,"Avery","county",17895,0
2015,0,"Avery","county",17816,0
2016,1,"Avery","county",18098,0.55
2017,1,"Avery","county",18072,0.55
2011,5,"Beaufort","county",47854,1.04
2012,4,"Beaufort","county",47901,0.84
2013,3,"Beaufort","county",47777,0.63
2014,4,"Beaufort","county",47717,0.84
2015,4,"Beaufort","county",47829,0.84
2016,3,"Beaufort","county",47610,0.63
2017,3,"Beaufort","county",47547,0.63
2011,0,"Bertie","county",20890,0
2012,0,"Bertie","county",20665,0
2013,0,"Bertie","county",20595,0
2014,0,"Bertie","county",20617,0
2015,0,"Bertie","county",20533,0
2016,0,"Bertie","county",19847,0
2017,0,"Bertie","county",19881,0
2011,2,"Bladen","county",35148,0.57
2012,2,"Bladen","county",35200,0.57
2013,2,"Bladen","county",35209,0.57
2014,5,"Bladen","county",35113,1.42
2015,3,"Bladen","county",35011,0.86
2016,4,"Bladen","county",34667,1.15
2017,3,"Bladen","county",34393,0.87
2011,5,"Brunswick","county",110140,0.45
2012,4,"Brunswick","county",112597,0.36
2013,2,"Brunswick","county",115716,0.17
2014,3,"Brunswick","county",117834,0.25
2015,5,"Brunswick","county",123535,0.4
2016,5,"Brunswick","county",127750,0.39
2017,6,"Brunswick","county",131726,0.46
2011,10,"Buncombe","county",243855,0.41
2012,14,"Buncombe","county",245535,0.57
2013,8,"Buncombe","county",248872,0.32
2014,13,"Buncombe","county",251275,0.52
2015,13,"Buncombe","county",254836,0.51
2016,16,"Buncombe","county",258406,0.62
2017,15,"Buncombe","county",261532,0.57
2011,6,"Burke","county",90722,0.66
2012,4,"Burke","county",89977,0.44
2013,6,"Burke","county",89519,0.67
2014,5,"Burke","county",89197,0.56
2015,5,"Burke","county",89114,0.56
2016,5,"Burke","county",89814,0.56
2017,5,"Burke","county",90246,0.55
2011,12,"Cabarrus","county",181253,0.66
2012,13,"Cabarrus","county",183565,0.71
2013,12,"Cabarrus","county",186457,0.64
2014,12,"Cabarrus","county",191060,0.63
2015,12,"Cabarrus","county",195714,0.61
2016,13,"Cabarrus","county",200663,0.65
2017,14,"Cabarrus","county",205473,0.68
2011,2,"Caldwell","county",83117,0.24
2012,3,"Caldwell","county",82605,0.36
2013,2,"Caldwell","county",82504,0.24
2014,2,"Caldwell","county",82445,0.24
2015,1,"Caldwell","county",82577,0.12
2016,2,"Caldwell","county",82793,0.24
2017,2,"Caldwell","county",83303,0.24
2011,0,"Camden","county",9921,0
2012,0,"Camden","county",9922,0
2013,0,"Camden","county",10174,0
2014,0,"Camden","county",10251,0
2015,0,"Camden","county",10224,0
2016,0,"Camden","county",10287,0
2017,0,"Camden","county",10359,0
2011,7,"Carteret","county",67696,1.03
2012,7,"Carteret","county",68362,1.02
2013,7,"Carteret","county",69239,1.01
2014,4,"Carteret","county",69350,0.58
2015,4,"Carteret","county",69826,0.57
2016,4,"Carteret","county",69881,0.57
2017,4,"Carteret","county",70190,0.57
2011,0,"Caswell","county",23654,0
2012,0,"Caswell","county",23492,0
2013,0,"Caswell","county",23844,0
2014,0,"Caswell","county",23602,0
2015,0,"Caswell","county",23606,0
2016,0,"Caswell","county",23689,0
2017,0,"Caswell","county",23699,0
2011,11,"Catawba","county",154992,0.71
2012,13,"Catawba","county",155494,0.84
2013,8,"Catawba","county",155411,0.51
2014,10,"Catawba","county",155830,0.64
2015,10,"Catawba","county",155828,0.64
2016,10,"Catawba","county",156473,0.64
2017,7,"Catawba","county",156949,0.45
2011,1,"Chatham","county",64553,0.15
2012,1,"Chatham","county",66545,0.15
2013,1,"Chatham","county",67620,0.15
2014,2,"Chatham","county",68725,0.29
2015,2,"Chatham","county",71815,0.28
2016,2,"Chatham","county",73286,0.27
2017,2,"Chatham","county",74835,0.27
2011,2,"Cherokee","county",27300,0.73
2012,3,"Cherokee","county",27030,1.11
2013,2,"Cherokee","county",27471,0.73
2014,4,"Cherokee","county",27451,1.46
2015,4,"Cherokee","county",27770,1.44
2016,3,"Cherokee","county",28591,1.05
2017,2,"Cherokee","county",29216,0.68
2011,3,"Chowan","county",14796,2.03
2012,3,"Chowan","county",14743,2.03
2013,3,"Chowan","county",14815,2.02
2014,3,"Chowan","county",14636,2.05
2015,3,"Chowan","county",14541,2.06
2016,2,"Chowan","county",14410,1.39
2017,2,"Chowan","county",14292,1.4
2011,0,"Clay","county",10460,0
2012,0,"Clay","county",10520,0
2013,0,"Clay","county",10794,0
2014,0,"Clay","county",10794,0
2015,0,"Clay","county",11036,0
2016,0,"Clay","county",11320,0
2017,0,"Clay","county",11488,0
2011,4,"Cleveland","county",98209,0.41
2012,4,"Cleveland","county",97702,0.41
2013,4,"Cleveland","county",97429,0.41
2014,5,"Cleveland","county",97920,0.51
2015,5,"Cleveland","county",97871,0.51
2016,6,"Cleveland","county",98244,0.61
2017,7,"Cleveland","county",98580,0.71
2011,5,"Columbus","county",57657,0.87
2012,6,"Columbus","county",57862,1.04
2013,5,"Columbus","county",57739,0.87
2014,6,"Columbus","county",57632,1.04
2015,6,"Columbus","county",57206,1.05
2016,6,"Columbus","county",57182,1.05
2017,5,"Columbus","county",56941,0.88
2011,6,"Craven","county",104965,0.57
2012,6,"Craven","county",105179,0.57
2013,7,"Craven","county",104421,0.67
2014,8,"Craven","county",104520,0.77
2015,6,"Craven","county",103691,0.58
2016,4,"Craven","county",103737,0.39
2017,6,"Craven","county",103735,0.58
2011,20,"Cumberland","county",327643,0.61
2012,18,"Cumberland","county",330754,0.54
2013,16,"Cumberland","county",332553,0.48
2014,16,"Cumberland","county",329403,0.49
2015,18,"Cumberland","county",328860,0.55
2016,18,"Cumberland","county",329824,0.55
2017,19,"Cumberland","county",329604,0.58
2011,0,"Currituck","county",23643,0
2012,0,"Currituck","county",23767,0
2013,0,"Currituck","county",24506,0
2014,0,"Currituck","county",25072,0
2015,0,"Currituck","county",25627,0
2016,0,"Currituck","county",26101,0
2017,0,"Currituck","county",26604,0
2011,2,"Dare","county",34216,0.58
2012,2,"Dare","county",34810,0.57
2013,1,"Dare","county",35273,0.28
2014,1,"Dare","county",35415,0.28
2015,3,"Dare","county",36001,0.83
2016,3,"Dare","county",36387,0.82
2017,3,"Dare","county",36792,0.82
2011,6,"Davidson","county",163364,0.37
2012,8,"Davidson","county",163410,0.49
2013,6,"Davidson","county",163770,0.37
2014,5,"Davidson","county",164454,0.3
2015,5,"Davidson","county",165193,0.3
2016,5,"Davidson","county",166137,0.3
2017,5,"Davidson","county",167105,0.3
2011,0,"Davie","county",41560,0
2012,0,"Davie","county",41412,0
2013,0,"Davie","county",41507,0
2014,0,"Davie","county",41476,0
2015,0,"Davie","county",41743,0
2016,0,"Davie","county",42211,0
2017,0,"Davie","county",42727,0
2011,1,"Duplin","county",59476,0.17
2012,1,"Duplin","county",60059,0.17
2013,1,"Duplin","county",60104,0.17
2014,1,"Duplin","county",60126,0.17
2015,2,"Duplin","county",59868,0.33
2016,2,"Duplin","county",59597,0.34
2017,2,"Duplin","county",59513,0.34
2011,41,"Durham","county",272314,1.51
2012,40,"Durham","county",282511,1.42
2013,33,"Durham","county",286053,1.15
2014,33,"Durham","county",292191,1.13
2015,36,"Durham","county",297219,1.21
2016,40,"Durham","county",301520,1.33
2017,43,"Durham","county",306184,1.4
2011,3,"Edgecombe","county",56089,0.53
2012,3,"Edgecombe","county",56085,0.53
2013,1,"Edgecombe","county",55704,0.18
2014,1,"Edgecombe","county",55483,0.18
2015,2,"Edgecombe","county",54367,0.37
2016,3,"Edgecombe","county",53502,0.56
2017,3,"Edgecombe","county",52856,0.57
2011,42,"Forsyth","county",354878,1.18
2012,34,"Forsyth","county",357767,0.95
2013,41,"Forsyth","county",360471,1.14
2014,47,"Forsyth","county",364248,1.29
2015,44,"Forsyth","county",366543,1.2
2016,46,"Forsyth","county",369144,1.25
2017,53,"Forsyth","county",372651,1.42
2011,1,"Franklin","county",61651,0.16
2012,1,"Franklin","county",61840,0.16
2013,0,"Franklin","county",62697,0
2014,3,"Franklin","county",63225,0.47
2015,2,"Franklin","county",64206,0.31
2016,0,"Franklin","county",65445,0
2017,0,"Franklin","county",66514,0
2011,12,"Gaston","county",207506,0.58
2012,10,"Gaston","county",208582,0.48
2013,11,"Gaston","county",209571,0.52
2014,12,"Gaston","county",210735,0.57
2015,14,"Gaston","county",212636,0.66
2016,12,"Gaston","county",215489,0.56
2017,12,"Gaston","county",218527,0.55
2011,0,"Gates","county",11944,0
2012,0,"Gates","county",11830,0
2013,0,"Gates","county",11880,0
2014,0,"Gates","county",11912,0
2015,0,"Gates","county",11739,0
2016,0,"Gates","county",11891,0
2017,0,"Gates","county",11960,0
2011,0,"Graham","county",8942,0
2012,0,"Graham","county",8850,0
2013,0,"Graham","county",8854,0
2014,0,"Graham","county",8829,0
2015,0,"Graham","county",8761,0
2016,0,"Graham","county",8835,0
2017,0,"Graham","county",8837,0
2011,2,"Granville","county",60863,0.33
2012,2,"Granville","county",56748,0.35
2013,2,"Granville","county",57910,0.35
2014,2,"Granville","county",58104,0.34
