"year","total","region","type","population","providerRate","percentFemale","percentAge","percentUnderrepresented"
2000,14,"Area L","ahec",296296,0.47,0.2857,0,0
2001,15,"Area L","ahec",296584,0.51,0.3333,0,0.0667
2002,18,"Area L","ahec",298557,0.6,0.3889,0.0556,0.0556
2003,17,"Area L","ahec",300530,0.57,0.4118,0,0.0588
2004,16,"Area L","ahec",299402,0.53,0.4375,0.0625,0.0625
2005,15,"Area L","ahec",299977,0.5,0.4,0.0667,0.0667
2006,16,"Area L","ahec",299459,0.53,0.3125,0.1875,0.0625
2007,17,"Area L","ahec",299285,0.57,0.3529,0.1765,0.0588
2008,17,"Area L","ahec",301094,0.56,0.3529,0.1765,0.0588
2009,16,"Area L","ahec",303354,0.53,0.375,0.25,0.0625
2010,17,"Area L","ahec",311268,0.55,0.4706,0.2353,0.0588
2011,18,"Area L","ahec",309832,0.58,0.5,0.2778,0.0556
2012,18,"Area L","ahec",309165,0.58,0.5,0.3889,0.1111
2013,18,"Area L","ahec",306794,0.59,0.5,0.3889,0.0556
2014,19,"Area L","ahec",305841,0.62,0.5789,0.3684,0.1053
2015,21,"Area L","ahec",303922,0.69,0.619,0.381,0.0952
2016,19,"Area L","ahec",302629,0.63,0.5789,0.4211,0.1053
2017,18,"Area L","ahec",301780,0.6,0.5556,0.6111,0.1111
2000,198,"Charlotte","ahec",1384001,1.43,0.4192,0.0303,0.0354
2001,208,"Charlotte","ahec",1419589,1.47,0.4327,0.0385,0.0385
2002,220,"Charlotte","ahec",1452485,1.51,0.45,0.05,0.0455
2003,223,"Charlotte","ahec",1485382,1.5,0.4484,0.0628,0.0448
2004,221,"Charlotte","ahec",1510434,1.46,0.4661,0.0633,0.0498
2005,229,"Charlotte","ahec",1539732,1.49,0.4803,0.0742,0.0524
2006,240,"Charlotte","ahec",1605915,1.49,0.5167,0.075,0.0583
2007,248,"Charlotte","ahec",1665257,1.49,0.5363,0.0766,0.0726
2008,261,"Charlotte","ahec",1701378,1.53,0.567,0.092,0.0728
2009,273,"Charlotte","ahec",1732010,1.58,0.5714,0.1136,0.0769
2010,290,"Charlotte","ahec",1776565,1.63,0.5897,0.1172,0.0897
2011,301,"Charlotte","ahec",1799166,1.67,0.5947,0.1296,0.093
2012,311,"Charlotte","ahec",1827256,1.7,0.6141,0.1383,0.09
2013,319,"Charlotte","ahec",1863538,1.71,0.6144,0.1599,0.0878
2014,323,"Charlotte","ahec",1896573,1.7,0.6285,0.1858,0.0867
2015,338,"Charlotte","ahec",1930604,1.75,0.642,0.1982,0.0828
2016,321,"Charlotte","ahec",1961268,1.64,0.6542,0.1963,0.0966
2017,331,"Charlotte","ahec",1999372,1.66,0.6616,0.1964,0.0967
2000,105,"Eastern","ahec",913210,1.15,0.3714,0.0667,0.0762
2001,115,"Eastern","ahec",914567,1.26,0.4,0.087,0.0696
2002,108,"Eastern","ahec",923021,1.17,0.3889,0.0833,0.0741
2003,106,"Eastern","ahec",931473,1.14,0.3774,0.0943,0.066
2004,98,"Eastern","ahec",947271,1.03,0.3469,0.0918,0.051
2005,111,"Eastern","ahec",957168,1.16,0.4144,0.1081,0.0541
2006,104,"Eastern","ahec",967485,1.07,0.4135,0.0962,0.0769
2007,107,"Eastern","ahec",1002600,1.07,0.4112,0.1215,0.0748
2008,117,"Eastern","ahec",995121,1.18,0.4103,0.1624,0.094
2009,130,"Eastern","ahec",1007683,1.29,0.4462,0.1769,0.0923
2010,135,"Eastern","ahec",1035493,1.3,0.4444,0.1926,0.0889
2011,140,"Eastern","ahec",1044211,1.34,0.4643,0.2,0.0929
2012,145,"Eastern","ahec",1055120,1.37,0.469,0.2,0.0897
2013,149,"Eastern","ahec",1059704,1.41,0.4832,0.2349,0.0872
2014,144,"Eastern","ahec",1060701,1.36,0.5069,0.2778,0.0972
2015,148,"Eastern","ahec",1062244,1.39,0.5135,0.3378,0.0878
2016,140,"Eastern","ahec",1061127,1.32,0.5286,0.3571,0.0929
2017,145,"Eastern","ahec",1064705,1.36,0.531,0.3931,0.0828
2000,294,"Greensboro","ahec",992109,2.96,0.5136,0.085,0.0408
2001,310,"Greensboro","ahec",1004145,3.09,0.5355,0.0935,0.0516
2002,300,"Greensboro","ahec",1022139,2.94,0.5333,0.09,0.0467
2003,308,"Greensboro","ahec",1040135,2.96,0.5422,0.1104,0.0422
2004,298,"Greensboro","ahec",1037038,2.87,0.5168,0.0906,0.0403
2005,314,"Greensboro","ahec",1036988,3.03,0.5318,0.1051,0.0414
2006,327,"Greensboro","ahec",1051795,3.11,0.5505,0.0917,0.0367
2007,336,"Greensboro","ahec",1072610,3.13,0.5625,0.1071,0.0387
2008,325,"Greensboro","ahec",1088392,2.99,0.5692,0.1323,0.0492
2009,338,"Greensboro","ahec",1105017,3.06,0.568,0.1509,0.0473
2010,331,"Greensboro","ahec",1127674,2.94,0.574,0.1843,0.0483
2011,339,"Greensboro","ahec",1136068,2.98,0.587,0.2183,0.0472
2012,350,"Greensboro","ahec",1147212,3.05,0.6086,0.22,0.04
2013,341,"Greensboro","ahec",1154755,2.95,0.607,0.2463,0.0411
