"year","total","region","type","population","providerRate"
2011,49,"Area L","ahec",309832,1.58
2012,52,"Area L","ahec",309165,1.68
2013,32,"Area L","ahec",306794,1.04
2014,43,"Area L","ahec",305841,1.41
2015,43,"Area L","ahec",303922,1.41
2016,46,"Area L","ahec",302629,1.52
2017,52,"Area L","ahec",301780,1.72
2011,177,"Charlotte","ahec",1799166,0.98
2012,197,"Charlotte","ahec",1827256,1.08
2013,147,"Charlotte","ahec",1863538,0.79
2014,179,"Charlotte","ahec",1896573,0.94
2015,200,"Charlotte","ahec",1930604,1.04
2016,218,"Charlotte","ahec",1961268,1.11
2017,242,"Charlotte","ahec",1999372,1.21
2011,145,"Eastern","ahec",1044211,1.39
2012,151,"Eastern","ahec",1055120,1.43
2013,124,"Eastern","ahec",1059704,1.17
2014,159,"Eastern","ahec",1060701,1.5
2015,172,"Eastern","ahec",1062244,1.62
2016,171,"Eastern","ahec",1061127,1.61
2017,173,"Eastern","ahec",1064705,1.62
2011,124,"Greensboro","ahec",1136068,1.09
2012,126,"Greensboro","ahec",1147212,1.1
2013,108,"Greensboro","ahec",1154755,0.94
2014,123,"Greensboro","ahec",1163764,1.06
2015,135,"Greensboro","ahec",1173064,1.15
2016,137,"Greensboro","ahec",1180482,1.16
2017,149,"Greensboro","ahec",1190264,1.25
2011,100,"Mountain","ahec",770362,1.3
2012,104,"Mountain","ahec",769642,1.35
2013,84,"Mountain","ahec",776064,1.08
2014,100,"Mountain","ahec",781867,1.28
2015,112,"Mountain","ahec",789383,1.42
2016,131,"Mountain","ahec",799550,1.64
2017,135,"Mountain","ahec",807857,1.67
2011,231,"Northwest","ahec",1563589,1.48
2012,230,"Northwest","ahec",1566740,1.47
2013,195,"Northwest","ahec",1571258,1.24
2014,222,"Northwest","ahec",1579059,1.41
2015,242,"Northwest","ahec",1586703,1.53
2016,269,"Northwest","ahec",1598199,1.68
2017,271,"Northwest","ahec",1610400,1.68
2011,92,"South East","ahec",487484,1.89
2012,90,"South East","ahec",494872,1.82
2013,68,"South East","ahec",502936,1.35
2014,91,"South East","ahec",509080,1.79
2015,93,"South East","ahec",518781,1.79
2016,101,"South East","ahec",527596,1.91
2017,95,"South East","ahec",536440,1.77
2011,216,"Southern Regional","ahec",900751,2.4
2012,223,"Southern Regional","ahec",909169,2.45
2013,135,"Southern Regional","ahec",914274,1.48
2014,189,"Southern Regional","ahec",913874,2.07
2015,170,"Southern Regional","ahec",915808,1.86
2016,179,"Southern Regional","ahec",918447,1.95
2017,207,"Southern Regional","ahec",921525,2.25
2011,238,"Wake AHEC","ahec",1657781,1.44
2012,258,"Wake AHEC","ahec",1686053,1.53
2013,186,"Wake AHEC","ahec",1712629,1.09
2014,245,"Wake AHEC","ahec",1742928,1.41
2015,252,"Wake AHEC","ahec",1776174,1.42
2016,270,"Wake AHEC","ahec",1806644,1.49
2017,313,"Wake AHEC","ahec",1840349,1.7
2011,11,"Alamance","county",152531,0.72
2012,12,"Alamance","county",153029,0.78
2013,8,"Alamance","county",153595,0.52
2014,12,"Alamance","county",155789,0.77
2015,15,"Alamance","county",157522,0.95
2016,14,"Alamance","county",159054,0.88
2017,18,"Alamance","county",161076,1.12
2011,7,"Alexander","county",37528,1.87
2012,6,"Alexander","county",37389,1.6
2013,3,"Alexander","county",37436,0.8
2014,3,"Alexander","county",37832,0.79
2015,5,"Alexander","county",37952,1.32
2016,6,"Alexander","county",38284,1.57
2017,6,"Alexander","county",38452,1.56
2011,1,"Alleghany","county",11069,0.9
2012,1,"Alleghany","county",10971,0.91
2013,1,"Alleghany","county",11052,0.9
2014,1,"Alleghany","county",11099,0.9
2015,1,"Alleghany","county",11190,0.89
2016,1,"Alleghany","county",11202,0.89
2017,1,"Alleghany","county",11233,0.89
2011,2,"Anson","county",25822,0.77
2012,2,"Anson","county",26626,0.75
2013,0,"Anson","county",26318,0
2014,0,"Anson","county",26468,0
2015,1,"Anson","county",26155,0.38
2016,1,"Anson","county",25628,0.39
2017,0,"Anson","county",25626,0
2011,1,"Ashe","county",27423,0.36
2012,1,"Ashe","county",27361,0.37
2013,2,"Ashe","county",27434,0.73
2014,2,"Ashe","county",27448,0.73
2015,1,"Ashe","county",27332,0.37
2016,1,"Ashe","county",27344,0.37
2017,2,"Ashe","county",27218,0.73
2011,0,"Avery","county",17834,0
2012,0,"Avery","county",17764,0
2013,0,"Avery","county",17872,0
2014,0,"Avery","county",17895,0
2015,1,"Avery","county",17816,0.56
2016,1,"Avery","county",18098,0.55
2017,3,"Avery","county",18072,1.66
2011,3,"Beaufort","county",47854,0.63
2012,3,"Beaufort","county",47901,0.63
2013,5,"Beaufort","county",47777,1.05
2014,8,"Beaufort","county",47717,1.68
2015,9,"Beaufort","county",47829,1.88
2016,9,"Beaufort","county",47610,1.89
2017,9,"Beaufort","county",47547,1.89
2011,4,"Bertie","county",20890,1.91
2012,4,"Bertie","county",20665,1.94
2013,5,"Bertie","county",20595,2.43
2014,5,"Bertie","county",20617,2.43
2015,5,"Bertie","county",20533,2.44
2016,5,"Bertie","county",19847,2.52
2017,4,"Bertie","county",19881,2.01
2011,7,"Bladen","county",35148,1.99
2012,8,"Bladen","county",35200,2.27
2013,4,"Bladen","county",35209,1.14
2014,4,"Bladen","county",35113,1.14
2015,3,"Bladen","county",35011,0.86
2016,2,"Bladen","county",34667,0.58
2017,4,"Bladen","county",34393,1.16
2011,19,"Brunswick","county",110140,1.73
2012,17,"Brunswick","county",112597,1.51
2013,17,"Brunswick","county",115716,1.47
2014,26,"Brunswick","county",117834,2.21
2015,22,"Brunswick","county",123535,1.78
2016,24,"Brunswick","county",127750,1.88
2017,19,"Brunswick","county",131726,1.44
2011,37,"Buncombe","county",243855,1.52
2012,39,"Buncombe","county",245535,1.59
2013,26,"Buncombe","county",248872,1.04
2014,37,"Buncombe","county",251275,1.47
2015,41,"Buncombe","county",254836,1.61
2016,48,"Buncombe","county",258406,1.86
2017,45,"Buncombe","county",261532,1.72
2011,16,"Burke","county",90722,1.76
2012,15,"Burke","county",89977,1.67
2013,8,"Burke","county",89519,0.89
2014,14,"Burke","county",89197,1.57
2015,14,"Burke","county",89114,1.57
2016,12,"Burke","county",89814,1.34
2017,11,"Burke","county",90246,1.22
2011,22,"Cabarrus","county",181253,1.21
2012,23,"Cabarrus","county",183565,1.25
2013,18,"Cabarrus","county",186457,0.97
2014,17,"Cabarrus","county",191060,0.89
2015,18,"Cabarrus","county",195714,0.92
2016,20,"Cabarrus","county",200663,1
2017,18,"Cabarrus","county",205473,0.88
2011,3,"Caldwell","county",83117,0.36
2012,3,"Caldwell","county",82605,0.36
2013,2,"Caldwell","county",82504,0.24
2014,2,"Caldwell","county",82445,0.24
2015,3,"Caldwell","county",82577,0.36
2016,4,"Caldwell","county",82793,0.48
2017,2,"Caldwell","county",83303,0.24
2011,0,"Camden","county",9921,0
2012,0,"Camden","county",9922,0
2013,0,"Camden","county",10174,0
2014,0,"Camden","county",10251,0
2015,0,"Camden","county",10224,0
2016,0,"Camden","county",10287,0
2017,0,"Camden","county",10359,0
2011,16,"Carteret","county",67696,2.36
2012,16,"Carteret","county",68362,2.34
2013,15,"Carteret","county",69239,2.17
2014,16,"Carteret","county",69350,2.31
2015,13,"Carteret","county",69826,1.86
2016,13,"Carteret","county",69881,1.86
2017,13,"Carteret","county",70190,1.85
2011,1,"Caswell","county",23654,0.42
2012,1,"Caswell","county",23492,0.43
2013,1,"Caswell","county",23844,0.42
2014,2,"Caswell","county",23602,0.85
2015,2,"Caswell","county",23606,0.85
2016,2,"Caswell","county",23689,0.84
2017,2,"Caswell","county",23699,0.84
2011,22,"Catawba","county",154992,1.42
2012,24,"Catawba","county",155494,1.54
2013,24,"Catawba","county",155411,1.54
2014,23,"Catawba","county",155830,1.48
2015,21,"Catawba","county",155828,1.35
2016,30,"Catawba","county",156473,1.92
2017,25,"Catawba","county",156949,1.59
2011,3,"Chatham","county",64553,0.46
2012,0,"Chatham","county",66545,0
2013,2,"Chatham","county",67620,0.3
2014,3,"Chatham","county",68725,0.44
2015,2,"Chatham","county",71815,0.28
2016,3,"Chatham","county",73286,0.41
2017,3,"Chatham","county",74835,0.4
2011,5,"Cherokee","county",27300,1.83
2012,5,"Cherokee","county",27030,1.85
2013,4,"Cherokee","county",27471,1.46
2014,4,"Cherokee","county",27451,1.46
2015,5,"Cherokee","county",27770,1.8
2016,6,"Cherokee","county",28591,2.1
2017,4,"Cherokee","county",29216,1.37
2011,0,"Chowan","county",14796,0
2012,0,"Chowan","county",14743,0
2013,0,"Chowan","county",14815,0
2014,0,"Chowan","county",14636,0
2015,0,"Chowan","county",14541,0
2016,0,"Chowan","county",14410,0
2017,0,"Chowan","county",14292,0
2011,0,"Clay","county",10460,0
2012,0,"Clay","county",10520,0
2013,0,"Clay","county",10794,0
2014,1,"Clay","county",10794,0.93
2015,2,"Clay","county",11036,1.81
2016,3,"Clay","county",11320,2.65
2017,2,"Clay","county",11488,1.74
2011,10,"Cleveland","county",98209,1.02
2012,9,"Cleveland","county",97702,0.92
2013,9,"Cleveland","county",97429,0.92
2014,9,"Cleveland","county",97920,0.92
2015,9,"Cleveland","county",97871,0.92
2016,7,"Cleveland","county",98244,0.71
2017,8,"Cleveland","county",98580,0.81
2011,11,"Columbus","county",57657,1.91
2012,8,"Columbus","county",57862,1.38
2013,15,"Columbus","county",57739,2.6
2014,14,"Columbus","county",57632,2.43
2015,15,"Columbus","county",57206,2.62
2016,12,"Columbus","county",57182,2.1
2017,12,"Columbus","county",56941,2.11
2011,9,"Craven","county",104965,0.86
2012,11,"Craven","county",105179,1.05
2013,9,"Craven","county",104421,0.86
2014,9,"Craven","county",104520,0.86
2015,9,"Craven","county",103691,0.87
2016,8,"Craven","county",103737,0.77
2017,12,"Craven","county",103735,1.16
2011,113,"Cumberland","county",327643,3.45
2012,117,"Cumberland","county",330754,3.54
2013,44,"Cumberland","county",332553,1.32
2014,97,"Cumberland","county",329403,2.94
2015,87,"Cumberland","county",328860,2.65
2016,92,"Cumberland","county",329824,2.79
2017,99,"Cumberland","county",329604,3
2011,2,"Currituck","county",23643,0.85
2012,4,"Currituck","county",23767,1.68
2013,2,"Currituck","county",24506,0.82
2014,2,"Currituck","county",25072,0.8
2015,2,"Currituck","county",25627,0.78
2016,3,"Currituck","county",26101,1.15
2017,3,"Currituck","county",26604,1.13
2011,6,"Dare","county",34216,1.75
2012,6,"Dare","county",34810,1.72
2013,7,"Dare","county",35273,1.98
2014,8,"Dare","county",35415,2.26
2015,6,"Dare","county",36001,1.67
2016,9,"Dare","county",36387,2.47
2017,7,"Dare","county",36792,1.9
2011,9,"Davidson","county",163364,0.55
2012,10,"Davidson","county",163410,0.61
2013,9,"Davidson","county",163770,0.55
2014,13,"Davidson","county",164454,0.79
2015,11,"Davidson","county",165193,0.67
2016,14,"Davidson","county",166137,0.84
2017,15,"Davidson","county",167105,0.9
2011,5,"Davie","county",41560,1.2
2012,5,"Davie","county",41412,1.21
2013,3,"Davie","county",41507,0.72
2014,4,"Davie","county",41476,0.96
2015,3,"Davie","county",41743,0.72
2016,4,"Davie","county",42211,0.95
2017,7,"Davie","county",42727,1.64
2011,6,"Duplin","county",59476,1.01
2012,4,"Duplin","county",60059,0.67
2013,2,"Duplin","county",60104,0.33
2014,6,"Duplin","county",60126,1
2015,9,"Duplin","county",59868,1.5
2016,10,"Duplin","county",59597,1.68
2017,9,"Duplin","county",59513,1.51
2011,59,"Durham","county",272314,2.17
2012,65,"Durham","county",282511,2.3
2013,42,"Durham","county",286053,1.47
2014,59,"Durham","county",292191,2.02
2015,52,"Durham","county",297219,1.75
2016,69,"Durham","county",301520,2.29
2017,75,"Durham","county",306184,2.45
2011,4,"Edgecombe","county",56089,0.71
2012,6,"Edgecombe","county",56085,1.07
2013,5,"Edgecombe","county",55704,0.9
2014,8,"Edgecombe","county",55483,1.44
2015,5,"Edgecombe","county",54367,0.92
2016,6,"Edgecombe","county",53502,1.12
2017,7,"Edgecombe","county",52856,1.32
2011,94,"Forsyth","county",354878,2.65
2012,92,"Forsyth","county",357767,2.57
2013,71,"Forsyth","county",360471,1.97
2014,79,"Forsyth","county",364248,2.17
2015,95,"Forsyth","county",366543,2.59
2016,98,"Forsyth","county",369144,2.65
