"year","total","region","type","population","providerRate"
2011,25,"Area L","ahec",309832,0.81
2012,26,"Area L","ahec",309165,0.84
2013,23,"Area L","ahec",306794,0.75
2014,23,"Area L","ahec",305841,0.75
2015,28,"Area L","ahec",303922,0.92
2016,23,"Area L","ahec",302629,0.76
2017,24,"Area L","ahec",301780,0.8
2011,230,"Charlotte","ahec",1799166,1.28
2012,222,"Charlotte","ahec",1827256,1.21
2013,217,"Charlotte","ahec",1863538,1.16
2014,224,"Charlotte","ahec",1896573,1.18
2015,222,"Charlotte","ahec",1930604,1.15
2016,232,"Charlotte","ahec",1961268,1.18
2017,241,"Charlotte","ahec",1999372,1.21
2011,116,"Eastern","ahec",1044211,1.11
2012,116,"Eastern","ahec",1055120,1.1
2013,105,"Eastern","ahec",1059704,0.99
2014,98,"Eastern","ahec",1060701,0.92
2015,106,"Eastern","ahec",1062244,1
2016,98,"Eastern","ahec",1061127,0.92
2017,97,"Eastern","ahec",1064705,0.91
2011,145,"Greensboro","ahec",1136068,1.28
2012,140,"Greensboro","ahec",1147212,1.22
2013,135,"Greensboro","ahec",1154755,1.17
2014,147,"Greensboro","ahec",1163764,1.26
2015,151,"Greensboro","ahec",1173064,1.29
2016,155,"Greensboro","ahec",1180482,1.31
2017,152,"Greensboro","ahec",1190264,1.28
2011,84,"Mountain","ahec",770362,1.09
2012,84,"Mountain","ahec",769642,1.09
2013,90,"Mountain","ahec",776064,1.16
2014,98,"Mountain","ahec",781867,1.25
2015,93,"Mountain","ahec",789383,1.18
2016,96,"Mountain","ahec",799550,1.2
2017,101,"Mountain","ahec",807857,1.25
2011,150,"Northwest","ahec",1563589,0.96
2012,148,"Northwest","ahec",1566740,0.94
2013,146,"Northwest","ahec",1571258,0.93
2014,150,"Northwest","ahec",1579059,0.95
2015,149,"Northwest","ahec",1586703,0.94
2016,150,"Northwest","ahec",1598199,0.94
2017,155,"Northwest","ahec",1610400,0.96
2011,55,"South East","ahec",487484,1.13
2012,58,"South East","ahec",494872,1.17
2013,53,"South East","ahec",502936,1.05
2014,53,"South East","ahec",509080,1.04
2015,58,"South East","ahec",518781,1.12
2016,58,"South East","ahec",527596,1.1
2017,59,"South East","ahec",536440,1.1
2011,74,"Southern Regional","ahec",900751,0.82
2012,82,"Southern Regional","ahec",909169,0.9
2013,74,"Southern Regional","ahec",914274,0.81
2014,81,"Southern Regional","ahec",913874,0.89
2015,77,"Southern Regional","ahec",915808,0.84
2016,69,"Southern Regional","ahec",918447,0.75
2017,66,"Southern Regional","ahec",921525,0.72
2011,216,"Wake AHEC","ahec",1657781,1.3
2012,209,"Wake AHEC","ahec",1686053,1.24
2013,206,"Wake AHEC","ahec",1712629,1.2
2014,213,"Wake AHEC","ahec",1742928,1.22
2015,213,"Wake AHEC","ahec",1776174,1.2
2016,228,"Wake AHEC","ahec",1806644,1.26
2017,231,"Wake AHEC","ahec",1840349,1.26
2011,10,"Alamance","county",152531,0.66
2012,13,"Alamance","county",153029,0.85
2013,12,"Alamance","county",153595,0.78
2014,12,"Alamance","county",155789,0.77
2015,14,"Alamance","county",157522,0.89
2016,12,"Alamance","county",159054,0.75
2017,9,"Alamance","county",161076,0.56
2011,0,"Alexander","county",37528,0
2012,0,"Alexander","county",37389,0
2013,0,"Alexander","county",37436,0
2014,0,"Alexander","county",37832,0
2015,0,"Alexander","county",37952,0
2016,0,"Alexander","county",38284,0
2017,0,"Alexander","county",38452,0
2011,0,"Alleghany","county",11069,0
2012,1,"Alleghany","county",10971,0.91
2013,0,"Alleghany","county",11052,0
2014,0,"Alleghany","county",11099,0
2015,0,"Alleghany","county",11190,0
2016,1,"Alleghany","county",11202,0.89
2017,1,"Alleghany","county",11233,0.89
2011,1,"Anson","county",25822,0.39
2012,1,"Anson","county",26626,0.38
2013,1,"Anson","county",26318,0.38
2014,1,"Anson","county",26468,0.38
2015,1,"Anson","county",26155,0.38
2016,0,"Anson","county",25628,0
2017,0,"Anson","county",25626,0
2011,2,"Ashe","county",27423,0.73
2012,2,"Ashe","county",27361,0.73
2013,1,"Ashe","county",27434,0.36
2014,1,"Ashe","county",27448,0.36
2015,1,"Ashe","county",27332,0.37
2016,1,"Ashe","county",27344,0.37
2017,0,"Ashe","county",27218,0
2011,0,"Avery","county",17834,0
2012,0,"Avery","county",17764,0
2013,1,"Avery","county",17872,0.56
2014,0,"Avery","county",17895,0
2015,0,"Avery","county",17816,0
2016,0,"Avery","county",18098,0
2017,0,"Avery","county",18072,0
2011,4,"Beaufort","county",47854,0.84
2012,3,"Beaufort","county",47901,0.63
2013,4,"Beaufort","county",47777,0.84
2014,4,"Beaufort","county",47717,0.84
2015,3,"Beaufort","county",47829,0.63
2016,3,"Beaufort","county",47610,0.63
2017,4,"Beaufort","county",47547,0.84
2011,1,"Bertie","county",20890,0.48
2012,0,"Bertie","county",20665,0
2013,0,"Bertie","county",20595,0
2014,0,"Bertie","county",20617,0
