"year","total","region","type","population","providerRate"
2011,7,"Area L","ahec",309832,0.23
2012,7,"Area L","ahec",309165,0.23
2013,5,"Area L","ahec",306794,0.16
2014,7,"Area L","ahec",305841,0.23
2015,7,"Area L","ahec",303922,0.23
2016,7,"Area L","ahec",302629,0.23
2017,6,"Area L","ahec",301780,0.2
2011,76,"Charlotte","ahec",1799166,0.42
2012,72,"Charlotte","ahec",1827256,0.39
2013,71,"Charlotte","ahec",1863538,0.38
2014,69,"Charlotte","ahec",1896573,0.36
2015,73,"Charlotte","ahec",1930604,0.38
2016,83,"Charlotte","ahec",1961268,0.42
2017,91,"Charlotte","ahec",1999372,0.46
2011,24,"Eastern","ahec",1044211,0.23
2012,18,"Eastern","ahec",1055120,0.17
2013,22,"Eastern","ahec",1059704,0.21
2014,25,"Eastern","ahec",1060701,0.24
2015,24,"Eastern","ahec",1062244,0.23
2016,26,"Eastern","ahec",1061127,0.25
2017,25,"Eastern","ahec",1064705,0.23
2011,60,"Greensboro","ahec",1136068,0.53
2012,59,"Greensboro","ahec",1147212,0.51
2013,60,"Greensboro","ahec",1154755,0.52
2014,68,"Greensboro","ahec",1163764,0.58
2015,70,"Greensboro","ahec",1173064,0.6
2016,66,"Greensboro","ahec",1180482,0.56
2017,61,"Greensboro","ahec",1190264,0.51
2011,19,"Mountain","ahec",770362,0.25
2012,22,"Mountain","ahec",769642,0.29
2013,22,"Mountain","ahec",776064,0.28
2014,22,"Mountain","ahec",781867,0.28
2015,23,"Mountain","ahec",789383,0.29
2016,25,"Mountain","ahec",799550,0.31
2017,27,"Mountain","ahec",807857,0.33
2011,85,"Northwest","ahec",1563589,0.54
2012,73,"Northwest","ahec",1566740,0.47
2013,79,"Northwest","ahec",1571258,0.5
2014,83,"Northwest","ahec",1579059,0.53
2015,87,"Northwest","ahec",1586703,0.55
2016,88,"Northwest","ahec",1598199,0.55
2017,98,"Northwest","ahec",1610400,0.61
2011,13,"South East","ahec",487484,0.27
2012,12,"South East","ahec",494872,0.24
2013,10,"South East","ahec",502936,0.2
2014,10,"South East","ahec",509080,0.2
2015,13,"South East","ahec",518781,0.25
2016,15,"South East","ahec",527596,0.28
2017,15,"South East","ahec",536440,0.28
2011,23,"Southern Regional","ahec",900751,0.26
2012,23,"Southern Regional","ahec",909169,0.25
2013,25,"Southern Regional","ahec",914274,0.27
2014,23,"Southern Regional","ahec",913874,0.25
2015,25,"Southern Regional","ahec",915808,0.27
2016,25,"Southern Regional","ahec",918447,0.27
2017,23,"Southern Regional","ahec",921525,0.25
2011,85,"Wake AHEC","ahec",1657781,0.51
2012,88,"Wake AHEC","ahec",1686053,0.52
2013,84,"Wake AHEC","ahec",1712629,0.49
2014,91,"Wake AHEC","ahec",1742928,0.52
2015,88,"Wake AHEC","ahec",1776174,0.5
2016,87,"Wake AHEC","ahec",1806644,0.48
2017,99,"Wake AHEC","ahec",1840349,0.54
2011,2,"Alamance","county",152531,0.13
2012,2,"Alamance","county",153029,0.13
2013,3,"Alamance","county",153595,0.2
2014,3,"Alamance","county",155789,0.19
2015,4,"Alamance","county",157522,0.25
2016,4,"Alamance","county",159054,0.25
2017,3,"Alamance","county",161076,0.19
2011,0,"Alexander","county",37528,0
2012,0,"Alexander","county",37389,0
2013,0,"Alexander","county",37436,0
2014,0,"Alexander","county",37832,0
