"year","total","region","type","population","providerRate","percentFemale","percentAge","percentUnderrepresented"
2000,24,"Area L","ahec",296296,0.81,0.2083,0.0833,0
2001,26,"Area L","ahec",296584,0.88,0.1923,0.1154,0
2002,28,"Area L","ahec",298557,0.94,0.1786,0.1071,0
2003,30,"Area L","ahec",300530,1,0.2,0.1333,0
2004,27,"Area L","ahec",299402,0.9,0.1481,0.1481,0
2005,27,"Area L","ahec",299977,0.9,0.1481,0.1852,0
2006,26,"Area L","ahec",299459,0.87,0.1538,0.1538,0
2007,28,"Area L","ahec",299285,0.94,0.1429,0.1429,0
2008,26,"Area L","ahec",301094,0.86,0.1538,0.1538,0
2009,25,"Area L","ahec",303354,0.82,0.16,0.12,0
2010,25,"Area L","ahec",311268,0.8,0.2,0.12,0
2011,25,"Area L","ahec",309832,0.81,0.2,0.12,0
2012,27,"Area L","ahec",309165,0.87,0.1852,0.1481,0
2013,29,"Area L","ahec",306794,0.95,0.2069,0.1379,0
2014,29,"Area L","ahec",305841,0.95,0.3103,0.1379,0.0345
2015,28,"Area L","ahec",303922,0.92,0.2857,0.1786,0.0357
2016,28,"Area L","ahec",302629,0.93,0.2857,0.1786,0.0357
2017,27,"Area L","ahec",301780,0.89,0.3333,0.1852,0.037
2000,140,"Charlotte","ahec",1384001,1.01,0.2643,0.0786,0.0571
2001,141,"Charlotte","ahec",1419589,0.99,0.2979,0.0709,0.0709
2002,147,"Charlotte","ahec",1452485,1.01,0.3061,0.0612,0.0748
2003,154,"Charlotte","ahec",1485382,1.04,0.3247,0.0584,0.0844
2004,166,"Charlotte","ahec",1510434,1.1,0.3313,0.0663,0.0843
2005,164,"Charlotte","ahec",1539732,1.07,0.3354,0.061,0.0854
2006,170,"Charlotte","ahec",1605915,1.06,0.3412,0.0588,0.0882
2007,176,"Charlotte","ahec",1665257,1.06,0.358,0.0568,0.0909
2008,185,"Charlotte","ahec",1701378,1.09,0.373,0.0486,0.0811
2009,187,"Charlotte","ahec",1732010,1.08,0.4011,0.0374,0.0749
2010,186,"Charlotte","ahec",1776565,1.05,0.3925,0.0376,0.0806
2011,199,"Charlotte","ahec",1799166,1.11,0.407,0.0452,0.0854
2012,210,"Charlotte","ahec",1827256,1.15,0.4143,0.0571,0.1048
2013,222,"Charlotte","ahec",1863538,1.19,0.4189,0.0721,0.0991
2014,226,"Charlotte","ahec",1896573,1.19,0.4513,0.0619,0.0929
2015,232,"Charlotte","ahec",1930604,1.2,0.444,0.069,0.1034
2016,241,"Charlotte","ahec",1961268,1.23,0.4481,0.083,0.0996
2017,244,"Charlotte","ahec",1999372,1.22,0.4754,0.0943,0.0943
2000,92,"Eastern","ahec",913210,1.01,0.2174,0.163,0.0109
