"year","total","region","type","population","providerRate"
2011,2,"Area L","ahec",309832,0.06
2012,4,"Area L","ahec",309165,0.13
2013,12,"Area L","ahec",306794,0.39
2014,10,"Area L","ahec",305841,0.33
2015,13,"Area L","ahec",303922,0.43
2016,10,"Area L","ahec",302629,0.33
2017,8,"Area L","ahec",301780,0.27
2011,28,"Charlotte","ahec",1799166,0.16
2012,37,"Charlotte","ahec",1827256,0.2
2013,83,"Charlotte","ahec",1863538,0.45
2014,88,"Charlotte","ahec",1896573,0.46
2015,81,"Charlotte","ahec",1930604,0.42
2016,79,"Charlotte","ahec",1961268,0.4
2017,75,"Charlotte","ahec",1999372,0.38
2011,11,"Eastern","ahec",1044211,0.11
2012,16,"Eastern","ahec",1055120,0.15
2013,48,"Eastern","ahec",1059704,0.45
2014,43,"Eastern","ahec",1060701,0.41
2015,44,"Eastern","ahec",1062244,0.41
2016,40,"Eastern","ahec",1061127,0.38
2017,30,"Eastern","ahec",1064705,0.28
2011,4,"Greensboro","ahec",1136068,0.04
2012,7,"Greensboro","ahec",1147212,0.06
2013,26,"Greensboro","ahec",1154755,0.23
2014,27,"Greensboro","ahec",1163764,0.23
2015,41,"Greensboro","ahec",1173064,0.35
2016,39,"Greensboro","ahec",1180482,0.33
2017,23,"Greensboro","ahec",1190264,0.19
2011,11,"Mountain","ahec",770362,0.14
2012,17,"Mountain","ahec",769642,0.22
2013,35,"Mountain","ahec",776064,0.45
2014,38,"Mountain","ahec",781867,0.49
2015,43,"Mountain","ahec",789383,0.54
2016,44,"Mountain","ahec",799550,0.55
2017,31,"Mountain","ahec",807857,0.38
2011,8,"Northwest","ahec",1563589,0.05
2012,9,"Northwest","ahec",1566740,0.06
2013,57,"Northwest","ahec",1571258,0.36
2014,54,"Northwest","ahec",1579059,0.34
2015,65,"Northwest","ahec",1586703,0.41
2016,69,"Northwest","ahec",1598199,0.43
2017,61,"Northwest","ahec",1610400,0.38
2011,3,"South East","ahec",487484,0.06
2012,3,"South East","ahec",494872,0.06
2013,20,"South East","ahec",502936,0.4
2014,22,"South East","ahec",509080,0.43
2015,23,"South East","ahec",518781,0.44
2016,27,"South East","ahec",527596,0.51
2017,28,"South East","ahec",536440,0.52
2011,13,"Southern Regional","ahec",900751,0.14
2012,24,"Southern Regional","ahec",909169,0.26
2013,46,"Southern Regional","ahec",914274,0.5
