"year","total","region","type","population","providerRate"
2011,10,"Area L","ahec",309832,0.32
2012,10,"Area L","ahec",309165,0.32
2013,8,"Area L","ahec",306794,0.26
2014,8,"Area L","ahec",305841,0.26
2015,7,"Area L","ahec",303922,0.23
2016,7,"Area L","ahec",302629,0.23
2017,8,"Area L","ahec",301780,0.27
2011,56,"Charlotte","ahec",1799166,0.31
2012,54,"Charlotte","ahec",1827256,0.3
2013,58,"Charlotte","ahec",1863538,0.31
2014,61,"Charlotte","ahec",1896573,0.32
2015,54,"Charlotte","ahec",1930604,0.28
2016,55,"Charlotte","ahec",1961268,0.28
2017,53,"Charlotte","ahec",1999372,0.27
2011,32,"Eastern","ahec",1044211,0.31
2012,31,"Eastern","ahec",1055120,0.29
2013,31,"Eastern","ahec",1059704,0.29
2014,34,"Eastern","ahec",1060701,0.32
2015,33,"Eastern","ahec",1062244,0.31
2016,32,"Eastern","ahec",1061127,0.3
2017,30,"Eastern","ahec",1064705,0.28
2011,37,"Greensboro","ahec",1136068,0.33
2012,43,"Greensboro","ahec",1147212,0.37
2013,43,"Greensboro","ahec",1154755,0.37
2014,46,"Greensboro","ahec",1163764,0.4
2015,49,"Greensboro","ahec",1173064,0.42
2016,50,"Greensboro","ahec",1180482,0.42
2017,48,"Greensboro","ahec",1190264,0.4
2011,20,"Mountain","ahec",770362,0.26
2012,24,"Mountain","ahec",769642,0.31
2013,24,"Mountain","ahec",776064,0.31
2014,23,"Mountain","ahec",781867,0.29
2015,28,"Mountain","ahec",789383,0.35
2016,25,"Mountain","ahec",799550,0.31
2017,25,"Mountain","ahec",807857,0.31
2011,61,"Northwest","ahec",1563589,0.39
2012,63,"Northwest","ahec",1566740,0.4
2013,61,"Northwest","ahec",1571258,0.39
2014,61,"Northwest","ahec",1579059,0.39
2015,58,"Northwest","ahec",1586703,0.37
2016,61,"Northwest","ahec",1598199,0.38
2017,63,"Northwest","ahec",1610400,0.39
2011,16,"South East","ahec",487484,0.33
2012,17,"South East","ahec",494872,0.34
2013,15,"South East","ahec",502936,0.3
2014,21,"South East","ahec",509080,0.41
2015,18,"South East","ahec",518781,0.35
2016,18,"South East","ahec",527596,0.34
2017,19,"South East","ahec",536440,0.35
2011,24,"Southern Regional","ahec",900751,0.27
2012,21,"Southern Regional","ahec",909169,0.23
2013,25,"Southern Regional","ahec",914274,0.27
2014,24,"Southern Regional","ahec",913874,0.26
2015,26,"Southern Regional","ahec",915808,0.28
2016,23,"Southern Regional","ahec",918447,0.25
2017,23,"Southern Regional","ahec",921525,0.25
2011,60,"Wake AHEC","ahec",1657781,0.36
2012,59,"Wake AHEC","ahec",1686053,0.35
2013,65,"Wake AHEC","ahec",1712629,0.38
2014,64,"Wake AHEC","ahec",1742928,0.37
2015,62,"Wake AHEC","ahec",1776174,0.35
2016,64,"Wake AHEC","ahec",1806644,0.35
2017,63,"Wake AHEC","ahec",1840349,0.34
2011,6,"Alamance","county",152531,0.39
2012,5,"Alamance","county",153029,0.33
2013,5,"Alamance","county",153595,0.33
2014,6,"Alamance","county",155789,0.39
2015,5,"Alamance","county",157522,0.32
2016,3,"Alamance","county",159054,0.19
2017,2,"Alamance","county",161076,0.12
2011,0,"Alexander","county",37528,0
2012,0,"Alexander","county",37389,0
2013,0,"Alexander","county",37436,0
2014,0,"Alexander","county",37832,0
2015,0,"Alexander","county",37952,0
2016,0,"Alexander","county",38284,0
2017,0,"Alexander","county",38452,0
2011,0,"Alleghany","county",11069,0
2012,0,"Alleghany","county",10971,0
2013,0,"Alleghany","county",11052,0
2014,0,"Alleghany","county",11099,0
2015,0,"Alleghany","county",11190,0
2016,0,"Alleghany","county",11202,0
2017,0,"Alleghany","county",11233,0
2011,0,"Anson","county",25822,0
2012,0,"Anson","county",26626,0
2013,0,"Anson","county",26318,0
2014,0,"Anson","county",26468,0
2015,0,"Anson","county",26155,0
2016,0,"Anson","county",25628,0
2017,0,"Anson","county",25626,0
2011,0,"Ashe","county",27423,0
2012,0,"Ashe","county",27361,0
2013,0,"Ashe","county",27434,0
2014,0,"Ashe","county",27448,0
2015,0,"Ashe","county",27332,0
2016,0,"Ashe","county",27344,0
2017,0,"Ashe","county",27218,0
2011,0,"Avery","county",17834,0
2012,1,"Avery","county",17764,0.56
2013,0,"Avery","county",17872,0
2014,1,"Avery","county",17895,0.56
2015,1,"Avery","county",17816,0.56
2016,1,"Avery","county",18098,0.55
2017,0,"Avery","county",18072,0
2011,2,"Beaufort","county",47854,0.42
2012,2,"Beaufort","county",47901,0.42
2013,2,"Beaufort","county",47777,0.42
2014,2,"Beaufort","county",47717,0.42
2015,2,"Beaufort","county",47829,0.42
2016,2,"Beaufort","county",47610,0.42
2017,2,"Beaufort","county",47547,0.42
2011,0,"Bertie","county",20890,0
2012,0,"Bertie","county",20665,0
2013,0,"Bertie","county",20595,0
2014,0,"Bertie","county",20617,0
2015,0,"Bertie","county",20533,0
2016,0,"Bertie","county",19847,0
2017,0,"Bertie","county",19881,0
2011,0,"Bladen","county",35148,0
2012,0,"Bladen","county",35200,0
2013,0,"Bladen","county",35209,0
2014,0,"Bladen","county",35113,0
2015,0,"Bladen","county",35011,0
2016,0,"Bladen","county",34667,0
2017,0,"Bladen","county",34393,0
2011,4,"Brunswick","county",110140,0.36
2012,5,"Brunswick","county",112597,0.44
2013,4,"Brunswick","county",115716,0.35
2014,5,"Brunswick","county",117834,0.42
2015,6,"Brunswick","county",123535,0.49
2016,4,"Brunswick","county",127750,0.31
2017,3,"Brunswick","county",131726,0.23
2011,8,"Buncombe","county",243855,0.33
2012,8,"Buncombe","county",245535,0.33
2013,10,"Buncombe","county",248872,0.4
2014,10,"Buncombe","county",251275,0.4
2015,11,"Buncombe","county",254836,0.43
2016,10,"Buncombe","county",258406,0.39
2017,11,"Buncombe","county",261532,0.42
2011,3,"Burke","county",90722,0.33
2012,3,"Burke","county",89977,0.33
2013,3,"Burke","county",89519,0.34
2014,1,"Burke","county",89197,0.11
2015,3,"Burke","county",89114,0.34
2016,3,"Burke","county",89814,0.33
2017,3,"Burke","county",90246,0.33
2011,5,"Cabarrus","county",181253,0.28
2012,5,"Cabarrus","county",183565,0.27
2013,6,"Cabarrus","county",186457,0.32
2014,6,"Cabarrus","county",191060,0.31
2015,5,"Cabarrus","county",195714,0.26
2016,5,"Cabarrus","county",200663,0.25
2017,5,"Cabarrus","county",205473,0.24
2011,0,"Caldwell","county",83117,0
2012,0,"Caldwell","county",82605,0
2013,0,"Caldwell","county",82504,0
2014,0,"Caldwell","county",82445,0
2015,0,"Caldwell","county",82577,0
2016,0,"Caldwell","county",82793,0
2017,1,"Caldwell","county",83303,0.12
2011,0,"Camden","county",9921,0
2012,0,"Camden","county",9922,0
2013,0,"Camden","county",10174,0
2014,0,"Camden","county",10251,0
2015,0,"Camden","county",10224,0
2016,0,"Camden","county",10287,0
2017,0,"Camden","county",10359,0
2011,2,"Carteret","county",67696,0.3
2012,1,"Carteret","county",68362,0.15
2013,2,"Carteret","county",69239,0.29
2014,2,"Carteret","county",69350,0.29
2015,1,"Carteret","county",69826,0.14
2016,2,"Carteret","county",69881,0.29
2017,1,"Carteret","county",70190,0.14
2011,0,"Caswell","county",23654,0
2012,0,"Caswell","county",23492,0
2013,0,"Caswell","county",23844,0
2014,0,"Caswell","county",23602,0
2015,0,"Caswell","county",23606,0
2016,0,"Caswell","county",23689,0
2017,0,"Caswell","county",23699,0
2011,7,"Catawba","county",154992,0.45
2012,5,"Catawba","county",155494,0.32
2013,5,"Catawba","county",155411,0.32
2014,6,"Catawba","county",155830,0.39
2015,6,"Catawba","county",155828,0.39
2016,6,"Catawba","county",156473,0.38
2017,6,"Catawba","county",156949,0.38
2011,0,"Chatham","county",64553,0
2012,0,"Chatham","county",66545,0
2013,0,"Chatham","county",67620,0
2014,0,"Chatham","county",68725,0
2015,0,"Chatham","county",71815,0
2016,0,"Chatham","county",73286,0
2017,0,"Chatham","county",74835,0
2011,2,"Cherokee","county",27300,0.73
2012,2,"Cherokee","county",27030,0.74
2013,2,"Cherokee","county",27471,0.73
2014,2,"Cherokee","county",27451,0.73
2015,2,"Cherokee","county",27770,0.72
2016,2,"Cherokee","county",28591,0.7
2017,2,"Cherokee","county",29216,0.68
2011,3,"Chowan","county",14796,2.03
2012,3,"Chowan","county",14743,2.03
2013,2,"Chowan","county",14815,1.35
2014,2,"Chowan","county",14636,1.37
2015,2,"Chowan","county",14541,1.38
2016,2,"Chowan","county",14410,1.39
2017,2,"Chowan","county",14292,1.4
2011,0,"Clay","county",10460,0
2012,0,"Clay","county",10520,0
2013,0,"Clay","county",10794,0
2014,0,"Clay","county",10794,0
2015,0,"Clay","county",11036,0
2016,0,"Clay","county",11320,0
2017,0,"Clay","county",11488,0
